YearID	TeamID	LeagueID	PlayerID	POS	Salary	yearID	teamID	lgID	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP	OBP	SLG	DumbC	DumbI
2004	COL	NL	walkela01	OF	12666667	2003	COL	NL	143	454	86	129	25	7	16	79	7	4	98	87	14	11	0	1	9	0.422	0.476	0	0
2001	NYA	AL	jeterde01	SS	12600000	2000	NYA	AL	148	593	119	201	31	4	15	73	22	4	68	99	4	12	3	3	14	0.414	0.481	0	1
2001	CIN	NL	griffke02	OF	12500000	2000	CIN	NL	145	520	100	141	22	3	40	118	6	4	94	117	17	9	0	8	7	0.387	0.556	0	0
2001	CHN	NL	sosasa01	OF	12500000	2000	CHN	NL	156	604	106	193	38	1	50	138	7	4	91	168	19	2	0	8	12	0.406	0.634	0	0
2003	CIN	NL	griffke02	OF	12500000	2002	CIN	NL	70	197	17	52	8	0	8	23	1	2	28	39	6	3	0	4	6	0.358	0.426	0	0
2004	CIN	NL	griffke02	OF	12500000	2003	CIN	NL	53	166	34	41	12	1	13	26	1	0	27	44	5	6	1	1	3	0.368	0.566	0	0
2004	HOU	NL	hidalri01	OF	12500000	2003	HOU	NL	141	514	91	159	43	4	28	88	9	7	58	104	8	8	0	5	10	0.385	0.572	0	0
2004	ATL	NL	jonesan01	OF	12500000	2003	ATL	NL	156	595	101	165	28	2	36	116	4	3	53	125	2	5	0	6	18	0.338	0.513	0	0
2004	NYA	AL	giambja01	1B	12428571	2003	NYA	AL	156	535	97	134	25	0	41	107	2	1	129	140	9	21	0	5	9	0.412	0.527	0	0
2001	NYA	AL	willibe02	OF	12357143	2000	NYA	AL	141	537	108	165	37	6	30	121	13	5	71	84	11	5	0	3	15	0.391	0.566	0	0
2002	NYA	AL	willibe02	OF	12357143	2001	NYA	AL	146	540	102	166	38	0	26	94	11	5	78	67	11	6	0	9	15	0.395	0.522	0	0
2003	NYA	AL	willibe02	OF	12357143	2002	NYA	AL	154	612	102	204	37	2	19	102	8	4	83	97	7	3	0	1	19	0.415	0.493	0	0
2004	NYA	AL	willibe02	OF	12357143	2003	NYA	AL	119	445	77	117	19	1	15	64	5	0	71	61	8	3	0	2	21	0.367	0.411	0	0
2004	PHI	NL	thomeji01	1B	12166667	2003	PHI	NL	159	578	111	154	30	3	47	131	0	3	111	182	11	4	0	5	5	0.385	0.573	0	0
2001	COL	NL	walkela01	OF	12166667	2000	COL	NL	87	314	64	97	21	7	9	51	5	5	46	40	4	9	0	3	12	0.409	0.506	0	0
2001	LAN	NL	greensh01	OF	12166667	2000	LAN	NL	162	610	98	164	44	4	24	99	24	5	90	121	9	8	0	6	18	0.367	0.472	0	0
2003	NYN	NL	burnije01	OF	12166667	2002	NYN	NL	154	479	65	103	15	0	19	54	10	7	58	135	5	10	1	2	11	0.311	0.365	0	0
2001	BAL	AL	belleal01	OF	12049040	2000	BAL	AL	141	559	71	157	37	1	23	103	0	5	52	68	11	4	0	7	17	0.342	0.474	0	0
2003	ATL	NL	jonesan01	OF	12000000	2002	ATL	NL	154	560	91	148	34	0	35	94	8	3	83	135	4	10	0	6	14	0.366	0.513	0	0
2003	DET	AL	higgibo02	OF	11850000	2002	DET	AL	119	444	50	125	24	3	10	63	12	5	41	45	3	6	1	7	8	0.345	0.417	0	0
2003	OAK	AL	dyeje01	OF	11666667	2002	OAK	AL	131	488	74	123	27	1	24	86	2	0	52	108	2	10	0	5	15	0.333	0.459	0	0
2004	OAK	AL	dyeje01	OF	11666667	2003	OAK	AL	65	221	28	38	6	0	4	20	1	0	25	42	2	3	0	4	11	0.261	0.253	0	0
2004	COL	NL	heltoto01	1B	11600000	2003	COL	NL	160	583	135	209	49	5	33	117	0	4	111	72	21	2	0	7	19	0.458	0.630	0	0
2001	TOR	AL	mondera01	OF	11500000	2000	TOR	AL	96	388	78	105	22	2	24	67	22	6	32	73	0	3	0	3	8	0.329	0.523	0	0
2003	MON	NL	guerrvl01	OF	11500000	2002	MON	NL	161	614	106	206	37	2	39	111	40	20	84	70	32	6	0	5	20	0.417	0.593	0	0
2004	BOS	AL	garcino01	SS	11500000	2003	BOS	AL	156	658	120	198	37	13	28	105	19	5	39	61	1	11	1	10	10	0.345	0.524	0	1
2003	NYA	AL	giambja01	1B	11428571	2002	NYA	AL	155	560	120	176	34	1	41	122	2	2	109	112	4	15	0	5	18	0.435	0.598	0	0
2003	ATL	NL	sheffga01	OF	11416667	2002	ATL	NL	135	492	82	151	26	0	25	84	12	2	72	53	2	11	0	4	16	0.404	0.512	0	0
2002	ATL	NL	jonesch06	OF	11333333	2001	ATL	NL	159	572	113	189	33	5	38	102	9	10	98	82	20	2	0	5	13	0.427	0.605	0	0
2003	PHI	NL	thomeji01	1B	11166667	2002	CLE	AL	147	480	101	146	19	2	52	118	1	2	122	139	18	5	0	6	5	0.445	0.677	0	0
2001	SLN	NL	mcgwima01	1B	11000000	2000	SLN	NL	89	236	60	72	8	0	32	73	1	0	76	78	12	7	0	2	5	0.483	0.746	0	0
2002	HOU	NL	bagweje01	1B	11000000	2001	HOU	NL	161	600	126	173	43	4	39	130	11	3	106	135	5	6	0	5	20	0.397	0.568	0	0
2003	KCA	AL	sweenmi01	1B	11000000	2002	KCA	AL	126	471	81	160	31	1	24	86	9	7	61	46	10	6	0	7	9	0.417	0.563	0	0
2004	KCA	AL	sweenmi01	1B	11000000	2003	KCA	AL	108	392	62	115	18	1	16	83	3	2	64	56	5	2	0	5	13	0.391	0.467	0	0
2002	TOR	AL	mondera01	OF	11000000	2001	TOR	AL	149	572	88	144	26	4	27	84	30	11	73	128	3	6	0	2	13	0.342	0.453	0	0
2002	TEX	AL	gonzaju03	OF	11000000	2001	CLE	AL	140	532	97	173	34	1	35	140	1	0	41	94	5	6	0	16	18	0.37	0.590	0	0
2004	ANA	AL	guerrvl01	OF	11000000	2003	MON	NL	112	394	71	130	20	3	25	79	9	5	63	53	22	6	0	4	18	0.426	0.586	0	0
2003	BOS	AL	garcino01	SS	11000000	2002	BOS	AL	156	635	101	197	56	5	24	120	5	2	41	63	4	6	0	11	17	0.352	0.528	0	1
2003	COL	NL	heltoto01	1B	10600000	2002	COL	NL	156	553	107	182	39	4	30	109	5	1	99	91	21	5	0	10	10	0.429	0.577	0	0
2004	PHI	NL	abreubo01	OF	10600000	2003	PHI	NL	158	577	99	173	35	1	20	101	22	9	109	126	13	2	0	7	13	0.409	0.468	0	0
2002	NYN	NL	piazzmi01	C	10571429	2001	NYN	NL	141	503	81	151	29	0	36	94	0	2	67	87	19	2	0	1	20	0.384	0.573	1	0
2002	NYA	AL	giambja01	1B	10428571	2001	OAK	AL	154	520	109	178	47	2	38	120	2	0	129	83	24	13	0	9	17	0.477	0.660	0	0
2001	ATL	NL	jonesch06	SS	10333333	2000	ATL	NL	156	579	118	180	38	1	36	111	14	7	95	64	10	2	0	10	14	0.404	0.566	0	1
2001	SFN	NL	bondsba01	OF	10300000	2000	SFN	NL	143	480	129	147	28	4	49	106	11	3	117	77	22	3	0	7	6	0.44	0.688	0	0
2004	HOU	NL	kentje01	2B	10000000	2003	HOU	NL	130	505	77	150	39	1	22	93	6	2	39	85	2	5	0	3	13	0.351	0.509	0	1
2003	ARI	NL	willima04	3B	10000000	2002	ARI	NL	60	215	29	56	7	2	12	40	3	1	21	41	1	0	0	2	8	0.324	0.479	0	1
2003	FLO	NL	rodriiv01	C	10000000	2002	TEX	AL	108	408	67	128	32	2	19	60	5	4	25	71	2	2	1	4	13	0.352	0.542	1	0
2001	CLE	AL	gonzaju03	OF	10000000	2000	DET	AL	115	461	69	133	30	2	22	67	1	2	32	84	3	2	0	1	13	0.337	0.505	0	0
2002	ATL	NL	jonesan01	OF	10000000	2001	ATL	NL	161	625	104	157	25	2	34	104	11	4	56	142	3	3	0	9	10	0.312	0.461	0	0
2001	CHA	AL	thomafr04	1B	9927000	2000	CHA	AL	159	582	115	191	44	0	43	143	1	3	112	94	18	5	0	8	13	0.436	0.625	0	0
2001	LAN	NL	sheffga01	OF	9916667	2000	LAN	NL	141	501	105	163	24	3	43	109	4	6	101	71	7	4	0	6	13	0.438	0.643	0	0
2002	ATL	NL	sheffga01	OF	9916667	2001	LAN	NL	143	515	98	160	28	2	36	100	10	4	94	67	13	4	0	5	12	0.417	0.583	0	0
2004	ANA	AL	glaustr01	3B	9900000	2003	ANA	AL	91	319	53	79	17	2	16	50	7	2	46	73	4	1	0	1	8	0.343	0.464	0	1
2003	ANA	AL	salmoti01	OF	9900000	2002	ANA	AL	138	483	84	138	37	1	22	88	6	3	71	102	3	7	0	7	6	0.38	0.503	0	0
2004	ANA	AL	salmoti01	OF	9900000	2003	ANA	AL	148	528	78	145	35	4	19	72	3	1	77	93	3	10	0	6	12	0.374	0.464	0	0
2003	HOU	NL	biggicr01	OF	9750000	2002	HOU	NL	145	577	96	146	36	3	15	58	16	2	50	111	2	17	9	2	15	0.325	0.404	0	0
2002	ANA	AL	salmoti01	OF	9650000	2001	ANA	AL	137	475	63	108	21	1	17	49	9	3	96	121	4	8	0	2	11	0.365	0.383	0	0
2002	TEX	AL	rodriiv01	C	9600000	2001	TEX	AL	111	442	70	136	24	2	25	65	10	3	23	73	3	4	0	1	13	0.347	0.541	1	0
2003	LAN	NL	jordabr01	OF	9600000	2002	LAN	NL	128	471	65	134	27	3	18	80	2	2	34	86	3	6	0	4	10	0.338	0.469	0	0
2003	CHN	NL	aloumo01	OF	9500000	2002	CHN	NL	132	484	50	133	23	1	15	61	8	0	47	61	4	0	0	3	15	0.337	0.419	0	0
2004	CHN	NL	aloumo01	OF	9500000	2003	CHN	NL	151	565	83	158	35	1	22	91	3	1	63	67	7	7	0	3	16	0.357	0.462	0	0
2002	ARI	NL	willima04	SS	9500000	2001	ARI	NL	106	408	58	112	30	0	16	65	1	0	22	70	3	3	0	3	15	0.314	0.466	0	1
2004	SLN	NL	edmonji01	OF	9333333	2003	SLN	NL	137	447	89	123	32	2	39	89	1	3	77	127	6	4	1	2	11	0.384	0.617	0	0
2003	TEX	AL	evereca01	OF	9150000	2002	TEX	AL	105	374	47	100	16	0	16	62	2	3	33	77	4	6	1	4	7	0.333	0.439	0	0
2001	ATL	NL	jordabr01	OF	9100000	2000	ATL	NL	133	489	71	129	26	0	17	77	10	2	38	80	1	5	0	5	12	0.32	0.421	0	0
2003	PHI	NL	abreubo01	OF	9100000	2002	PHI	NL	157	572	102	176	50	6	20	85	31	12	104	117	9	3	0	6	11	0.413	0.521	0	0
2001	TEX	AL	palmera01	1B	9000000	2000	TEX	AL	158	565	102	163	29	3	39	120	2	1	103	77	17	3	0	7	14	0.397	0.558	0	0
2003	TEX	AL	palmera01	1B	9000000	2002	TEX	AL	155	546	99	149	34	0	43	105	2	0	104	94	16	6	0	7	10	0.391	0.571	0	0
2001	CHA	AL	durhara01	2B	9000000	2000	CHA	AL	151	614	121	172	35	9	17	75	25	13	75	105	0	7	5	8	13	0.358	0.450	0	1
2001	ARI	NL	willima04	3B	9000000	2000	ARI	NL	96	371	43	102	18	2	12	47	1	2	20	51	1	3	0	3	11	0.315	0.431	0	1
