YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA,Arbitration,Free Agency,
2000,BAL,AL,amarari01,OF,500000,1999,BAL,AL,91,137,21,38,8,1,0,11,9,6,15,20,0,1,1,2,1,0.346,0.350,0,0,156,0,0,
2000,BAL,AL,anderbr01,OF,7127199,1999,BAL,AL,150,564,109,159,28,5,24,81,36,7,96,105,7,24,1,7,6,0.403,0.477,0,0,699,0,0,
2000,BAL,AL,johnsch04,C,4600000,1999,BAL,AL,135,426,58,107,19,1,16,54,0,0,55,107,2,4,4,3,13,0.337,0.413,1,0,494,1,0,
2000,BAL,AL,clarkwi02,1B,6000000,1999,BAL,AL,77,251,40,76,15,0,10,29,2,2,38,42,2,2,0,3,5,0.395,0.482,0,0,296,0,0,
2000,BAL,AL,hairsje02,2B,205000,1999,BAL,AL,50,175,26,47,12,1,4,17,9,4,11,24,0,3,4,0,2,0.316,0.417,0,1,193,0,0,
2000,BAL,AL,deshide01,2B,4209324,1999,BAL,AL,96,330,46,87,11,2,6,34,11,8,37,52,0,1,5,1,5,0.334,0.364,0,1,374,0,0,
2000,BAL,AL,ripkeca01,3B,6300000,1999,BAL,AL,86,332,51,113,27,0,18,57,0,1,13,31,3,3,3,3,14,0.364,0.584,0,1,357,0,0,
2000,BAL,AL,surhobj01,OF,4146789,1999,BAL,AL,162,673,104,207,38,1,28,107,5,1,43,78,1,2,1,8,15,0.347,0.492,0,0,728,0,0,
2000,BAL,AL,belleal01,OF,12868670,1999,BAL,AL,161,610,108,181,36,1,37,117,17,3,101,82,15,7,0,4,19,0.400,0.541,0,0,737,0,0,
2000,BAL,AL,rebouje01,SS,575000,1999,BAL,AL,99,154,25,25,4,0,0,4,1,0,33,29,0,2,3,0,1,0.313,0.188,0,1,192,0,0,
2000,BAL,AL,bordimi01,SS,3000000,1999,BAL,AL,160,631,93,175,35,7,10,77,14,4,54,102,1,5,8,10,25,0.331,0.403,0,1,709,0,0,
2000,BOS,AL,stanlmi02,1B,3500000,1999,BOS,AL,136,427,59,120,22,0,19,72,0,0,70,94,3,11,0,4,8,0.393,0.466,0,0,515,0,0,
2000,BOS,AL,offerjo01,2B,5750000,1999,BOS,AL,149,586,107,172,37,11,8,69,18,12,96,79,5,2,2,7,11,0.390,0.435,0,1,698,0,0,
2000,BOS,AL,valenjo02,3B,6350000,1999,BOS,AL,113,450,58,114,27,1,12,70,0,1,40,68,2,4,1,8,11,0.314,0.398,0,1,505,0,0,
2000,BOS,AL,varitja01,C,375000,1999,BOS,AL,144,483,70,130,39,2,20,76,1,2,46,85,2,2,5,8,13,0.327,0.482,1,0,546,0,0,
2000,BOS,AL,lewisda01,OF,2400000,1999,BOS,AL,135,470,63,113,14,6,2,40,16,10,45,52,0,5,14,4,5,0.303,0.309,0,0,538,0,0,
2000,BOS,AL,buforda01,OF,1100000,1999,BOS,AL,91,297,39,72,15,2,6,38,9,2,21,74,0,2,1,3,5,0.293,0.367,0,0,324,0,0,
2000,BOS,AL,nixontr01,OF,270000,1999,BOS,AL,124,381,67,103,22,5,15,52,3,1,53,75,1,3,2,8,7,0.356,0.472,0,0,448,0,0,
2000,BOS,AL,daubabr01,OF,295000,1999,BOS,AL,110,381,61,112,33,3,21,73,0,1,36,92,0,3,0,0,5,0.360,0.562,0,0,420,0,0,
2000,BOS,AL,oleartr01,OF,4000000,1999,BOS,AL,157,596,84,167,36,4,28,103,1,2,56,91,5,4,0,5,21,0.343,0.495,0,0,666,0,0,
2000,BOS,AL,garcino01,SS,3700000,1999,BOS,AL,135,532,103,190,42,4,27,104,14,3,51,39,7,8,0,4,11,0.418,0.603,0,1,602,0,0,
2000,CHA,AL,thomafr04,1B,7100000,1999,CHA,AL,135,486,74,148,36,0,15,77,3,3,87,66,13,9,0,8,15,0.414,0.471,0,0,603,0,0,
2000,CHA,AL,durhara01,2B,4900000,1999,CHA,AL,153,612,109,181,30,8,13,60,34,11,73,105,1,4,3,2,9,0.372,0.435,0,1,695,0,0,
2000,CHA,AL,nortogr01,3B,285000,1999,CHA,AL,132,436,62,111,26,0,16,50,4,4,69,93,3,2,1,2,11,0.357,0.424,0,1,513,0,0,
2000,CHA,AL,konerpa01,3B,305000,1999,CHA,AL,142,513,71,151,31,4,24,81,1,0,45,68,0,2,1,3,19,0.351,0.511,0,1,564,0,0,
2000,CHA,AL,johnsma02,C,250000,1999,CHA,AL,73,207,27,47,11,0,4,16,3,1,36,58,0,2,1,2,2,0.343,0.338,1,0,248,0,0,
2000,CHA,AL,fordybr01,C,675000,1999,CHA,AL,105,333,36,99,25,1,9,49,2,0,21,48,0,3,3,2,5,0.340,0.459,1,0,362,0,0,
2000,CHA,AL,leeca01,OF,275000,1999,CHA,AL,127,492,66,144,32,2,16,84,4,2,13,72,0,4,1,7,11,0.311,0.463,0,0,517,0,0,
2000,CHA,AL,singlch01,OF,285000,1999,CHA,AL,133,496,72,149,31,6,17,72,20,5,22,45,1,1,4,6,10,0.325,0.490,0,0,530,0,0,
2000,CHA,AL,ordonma01,OF,425000,1999,CHA,AL,157,624,100,188,34,3,30,117,13,6,47,64,4,1,0,5,24,0.349,0.510,0,0,681,0,0,
2000,CHA,AL,wilsocr02,SS,250000,1999,CHA,AL,98,252,28,60,8,1,4,26,1,1,23,22,0,0,6,1,5,0.294,0.325,0,1,282,0,0,
2000,CHN,NL,moranmi01,2B,750000,1999,CHN,NL,144,456,60,110,18,5,4,37,6,6,48,61,2,6,7,4,10,0.315,0.329,0,1,523,0,1,
2000,CHN,NL,santibe01,C,650000,1999,CHN,NL,109,350,28,87,18,3,7,36,1,1,32,71,6,2,0,2,12,0.313,0.377,1,0,392,0,1,
2000,CHN,NL,hernajo01,SS,3333333,1999,CHN,NL,99,342,57,93,12,2,15,43,7,2,40,101,3,5,1,0,5,0.356,0.450,0,1,391,0,1,
2000,CHN,NL,alexama02,SS,612500,1999,CHN,NL,90,177,17,48,11,2,0,15,4,0,10,38,0,0,1,1,1,0.307,0.356,0,1,189,0,0,
2000,CHN,NL,gracema01,1B,5300000,1999,CHN,NL,161,593,107,183,44,5,16,91,3,4,83,44,4,2,0,10,14,0.390,0.481,0,0,692,0,0,
2000,CHN,NL,reedje02,C,1000000,1999,CHN,NL,57,150,18,39,11,2,1,17,1,1,28,34,0,2,0,1,4,0.381,0.380,1,0,181,0,0,
2000,CHN,NL,houstty01,C,835000,1999,CHN,NL,100,249,26,58,9,1,9,27,1,1,28,67,4,0,1,1,7,0.308,0.386,1,0,283,0,0,
2000,CHN,NL,johnsla03,OF,350000,1999,CHN,NL,95,335,46,87,11,6,1,21,13,3,37,20,0,0,4,1,6,0.329,0.337,0,0,377,0,0,
