yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR
2014,LAN,NL,baxtemi01,OF,700000,2013,1,NYN,NL,74,132,14,25,6,1,0
2014,NYN,NL,tejadru01,SS,1100000,2013,1,NYN,NL,57,208,20,42,12,0,0
2014,PHI,NL,reverbe01,OF,1950000,2013,1,PHI,NL,88,315,37,96,9,3,0
2014,SEA,AL,bloomwi01,SS,2800000,2013,1,ARI,NL,48,139,16,44,5,1,0
2014,ARI,NL,pennicl01,SS,3250000,2013,1,ARI,NL,96,269,25,65,13,1,1
2014,BOS,AL,herrejo03,SS,1300000,2013,1,COL,NL,81,195,16,57,7,2,1
2014,CIN,NL,hannaja01,3B,1000000,2013,1,CIN,NL,83,139,12,30,5,1,1
2014,CIN,NL,santira01,SS,1100000,2013,1,DET,AL,80,205,27,46,8,1,1
2014,COL,NL,pachejo01,OF,502000,2013,1,COL,NL,95,247,23,59,15,0,1
2014,HOU,AL,hoeslj01,OF,502900,2013,2,HOU,AL,46,167,24,48,7,2,1
2014,HOU,AL,villajo01,SS,503800,2013,1,HOU,AL,58,210,26,51,9,2,1
2014,MIL,NL,biancje01,SS,502000,2013,1,MIL,NL,100,236,22,56,8,1,1
2014,NYA,AL,rominau01,C,524800,2013,1,NYA,AL,60,135,15,28,9,0,1
2014,NYN,NL,younger03,OF,1850000,2013,2,NYN,NL,91,374,48,94,18,4,1
2014,PHI,NL,nievewi01,C,1125000,2013,1,ARI,NL,71,195,16,58,11,0,1
2014,SFN,NL,ariasjo01,SS,1150000,2013,1,SFN,NL,102,225,17,61,9,2,1
2014,SLN,NL,kozmape01,SS,518000,2013,1,SLN,NL,143,410,44,89,20,0,1
2014,BAL,AL,lombast02,OF,517500,2013,1,WAS,NL,118,290,25,75,15,1,2
2014,CIN,NL,schumsk01,P,2000000,2013,1,LAN,NL,125,319,31,84,16,0,2
2014,CLE,AL,johnsel02,SS,930000,2013,1,KCA,AL,79,162,19,29,2,1,2
2014,COL,NL,lemahdj01,SS,501000,2013,1,COL,NL,109,404,39,113,21,3,2
2014,KCA,AL,dysonja01,OF,530000,2013,1,KCA,AL,87,213,30,55,9,4,2
2014,KCA,AL,maxweju01,OF,1325000,2013,1,HOU,AL,40,137,21,33,10,2,2
2014,LAA,AL,shuckja01,OF,515000,2013,1,LAA,AL,129,437,60,128,20,3,2
2014,LAN,NL,turneju01,SS,1000000,2013,1,NYN,NL,86,200,12,56,13,1,2
2014,MIA,NL,dobbsgr01,OF,1700000,2013,1,MIA,NL,114,237,21,54,11,0,2
2014,MIN,AL,fuldsa01,P,800000,2013,1,TBA,AL,119,176,25,35,0,3,2
