yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2016,MIA,NL,gordode01,2B,3242202,2015,MIA,NL,145,615,88,205,24,8,4,46,58,20,25,91,2,2,6,5,6,0.355,0.418,0,1,655
2016,HOU,AL,altuvjo01,2B,3687500,2015,HOU,AL,154,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17,0.351,0.459,0,1,697
2016,BOS,AL,bogaexa01,SS,650000,2015,BOS,AL,156,613,84,196,35,3,7,81,10,2,32,101,1,3,3,3,16,0.353,0.421,0,1,655
2016,ARI,NL,polloaj01,OF,3500000,2015,ARI,NL,157,609,111,192,39,6,20,76,39,7,53,89,0,2,0,9,19,0.367,0.498,0,0,673
2016,TEX,AL,fieldpr01,1B,24000000,2015,TEX,AL,158,613,78,187,28,0,23,98,0,0,64,88,14,11,0,5,21,0.378,0.463,0,0,707
2016,DET,AL,kinslia01,2B,14000000,2015,DET,AL,154,624,94,185,35,7,11,73,10,6,43,80,0,3,0,5,13,0.342,0.428,0,1,675
2016,TOR,AL,donaljo02,3B,11650000,2015,TOR,AL,158,620,122,184,41,2,41,123,6,0,73,133,0,6,2,10,16,0.370,0.568,0,1,711
2016,ARI,NL,goldspa01,1B,5833333,2015,ARI,NL,159,567,103,182,38,2,33,110,21,5,118,151,29,2,0,7,16,0.435,0.570,0,0,723
2016,BAL,AL,machama01,SS,5000000,2015,BAL,AL,162,633,102,181,30,1,35,86,20,8,70,111,2,4,2,4,17,0.358,0.502,0,1,715
2016,ATL,NL,markani01,OF,11000000,2015,ATL,NL,156,612,73,181,38,1,3,53,2,1,70,83,11,3,0,1,17,0.370,0.376,0,0,697
2016,SEA,AL,canoro01,2B,24000000,2015,SEA,AL,156,624,82,179,34,1,21,79,2,6,43,107,5,3,0,4,26,0.334,0.446,0,1,679
2016,SEA,AL,cruzne02,OF,14250000,2015,SEA,AL,152,590,90,178,22,1,44,93,3,2,59,164,9,5,0,1,6,0.369,0.566,0,0,664
2016,CHA,AL,abreujo02,1B,11666667,2015,CHA,AL,154,613,88,178,34,3,30,101,0,0,39,140,11,15,0,1,16,0.347,0.502,0,0,679
2016,KCA,AL,hosmeer01,OF,8250000,2015,KCA,AL,158,599,98,178,33,5,18,93,7,3,61,108,6,3,1,3,16,0.363,0.459,0,0,673
2016,COL,NL,arenano01,3B,5000000,2015,COL,NL,157,616,97,177,43,4,42,130,2,5,34,110,13,4,0,11,17,0.323,0.575,0,1,678
2016,SFN,NL,poseybu01,C,20777778,2015,SFN,NL,150,557,74,177,28,0,19,95,2,0,56,52,10,3,0,7,17,0.379,0.470,1,0,633
2016,COL,NL,blackch02,OF,3500000,2015,COL,NL,157,614,93,176,31,9,17,58,43,13,46,112,2,13,5,4,4,0.345,0.450,0,0,684
2016,CHA,AL,eatonad02,OF,2750000,2015,CHA,AL,153,610,98,175,28,9,14,56,18,8,58,131,2,14,5,2,5,0.358,0.431,0,0,691
2016,BOS,AL,bettsmo01,OF,566000,2015,BOS,AL,145,597,92,174,42,8,18,77,21,6,46,82,1,2,3,6,2,0.339,0.479,0,0,655
2016,CIN,NL,phillbr01,SS,13083333,2015,CIN,NL,148,588,69,173,19,2,12,70,23,3,27,68,1,4,1,3,13,0.327,0.395,0,1,624
2016,WAS,NL,harpebr03,OF,5000000,2015,WAS,NL,153,521,118,172,38,1,42,99,6,4,124,131,15,5,0,4,15,0.460,0.649,0,0,669
2016,LAA,AL,troutmi01,OF,16083333,2015,LAA,AL,159,575,104,172,32,6,41,90,11,7,92,158,14,10,0,5,11,0.402,0.590,0,0,696
2016,CHA,AL,cabreme01,OF,14000000,2015,CHA,AL,158,629,70,172,36,2,12,77,3,0,40,88,2,2,2,10,18,0.313,0.394,0,0,685
2016,CIN,NL,vottojo01,1B,20000000,2015,CIN,NL,158,545,95,171,33,2,29,80,11,3,143,135,15,5,0,2,11,0.459,0.541,0,0,710
2016,CLE,AL,kipnija01,2B,6166667,2015,CLE,AL,141,565,86,171,43,7,9,52,12,8,57,107,6,9,4,6,5,0.370,0.451,0,1,647
2016,COL,NL,lemahdj01,2B,3000000,2015,COL,NL,150,564,85,170,21,5,6,61,23,3,50,107,4,1,3,2,20,0.356,0.388,0,1,624
2016,KCA,AL,cainlo01,OF,6500000,2015,KCA,AL,140,551,101,169,34,6,16,72,28,6,37,98,4,12,0,4,16,0.361,0.477,0,0,608
2016,HOU,AL,duffyma01,SS,510200,2015,SFN,NL,149,573,77,169,28,6,12,77,12,0,30,96,0,5,2,2,22,0.333,0.428,0,1,612
2016,DET,AL,martijd02,OF,6750000,2015,DET,AL,158,596,93,168,33,2,38,102,3,2,53,178,7,5,0,3,11,0.344,0.535,0,0,664
2016,LAA,AL,escobyu01,3B,7000000,2015,WAS,NL,139,535,75,168,25,1,9,56,2,2,45,70,0,8,1,2,24,0.374,0.415,0,1,591
2016,SEA,AL,seageky01,SS,8000000,2015,SEA,AL,161,623,85,166,37,0,26,74,6,6,54,98,6,5,0,4,17,0.328,0.451,0,1,692
