,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
304,2002,SFN,NL,bondsba01,OF,15000000,2001,1,SFN,NL,153,476,129,156,32,2,73,137,13,3,177,93,35,9,0,2,5
89,2002,CHN,NL,sosasa01,OF,15000000,2001,1,CHN,NL,160,577,146,189,34,5,64,160,0,2,116,153,37,6,0,12,6
19,2002,ARI,NL,gonzalu01,OF,4333333,2001,1,ARI,NL,162,609,128,198,36,7,57,142,1,1,100,83,24,14,0,5,14
343,2002,TEX,AL,rodrial01,SS,22000000,2001,1,TEX,AL,162,632,133,201,34,1,52,135,18,3,75,131,6,16,0,9,17
176,2002,LAN,NL,greensh01,OF,13416667,2001,1,LAN,NL,161,619,121,184,31,4,49,125,20,4,72,107,10,5,0,5,10
117,2002,COL,NL,heltoto01,1B,5000000,2001,1,COL,NL,159,587,132,197,54,2,49,146,7,5,98,104,15,5,1,5,14
114,2002,CLE,AL,thomeji01,1B,8000000,2001,1,CLE,AL,156,526,101,153,26,1,49,124,0,1,111,185,14,4,0,3,9
341,2002,TEX,AL,palmera01,1B,8712986,2001,1,TEX,AL,160,600,98,164,33,0,47,123,1,1,101,90,8,7,0,6,8
198,2002,MIL,NL,sexsori01,1B,3125000,2001,1,MIL,NL,158,598,94,162,24,3,45,125,2,4,60,178,5,6,0,3,20
6,2002,ANA,AL,glaustr01,SS,4000000,2001,1,ANA,AL,161,588,100,147,38,2,41,108,10,3,107,158,7,6,0,7,16
287,2002,SDN,NL,nevinph01,3B,2600000,2001,1,SDN,NL,149,546,97,167,31,0,41,126,4,4,71,147,7,4,0,3,13
61,2002,BOS,AL,ramirma02,OF,15462727,2001,1,BOS,AL,142,529,93,162,33,2,41,125,0,1,81,147,25,8,0,2,9
148,2002,HOU,NL,bagweje01,1B,11000000,2001,1,HOU,NL,161,600,126,173,43,4,39,130,11,3,106,135,5,6,0,5,20
349,2002,TOR,AL,delgaca01,1B,19400000,2001,1,TOR,AL,162,574,102,160,31,1,39,102,3,0,111,136,22,16,0,3,9
225,2002,NYA,AL,giambja01,1B,10428571,2001,1,OAK,AL,154,520,109,178,47,2,38,120,2,0,129,83,24,13,0,9,17
33,2002,ATL,NL,jonesch06,OF,11333333,2001,1,ATL,NL,159,572,113,189,33,5,38,102,9,10,98,82,20,2,0,5,13
124,2002,COL,NL,walkela01,OF,12666667,2001,1,COL,NL,142,497,107,174,35,3,38,123,14,5,82,103,6,14,0,8,9
301,2002,SFN,NL,aurilri01,SS,5250000,2001,1,SFN,NL,156,636,114,206,37,5,37,97,1,3,47,83,2,0,3,3,14
289,2002,SEA,AL,boonebr01,2B,8000000,2001,1,SEA,AL,158,623,118,206,37,3,37,141,5,5,40,110,5,9,5,13,11
268,2002,PIT,NL,gilesbr02,OF,8063003,2001,1,PIT,NL,160,576,116,178,37,7,37,95,13,6,90,67,14,4,0,4,10
321,2002,SLN,NL,pujolal01,OF,600000,2001,1,SLN,NL,161,590,112,194,47,4,37,130,1,3,69,93,6,9,1,7,21
245,2002,NYN,NL,piazzmi01,C,10571429,2001,1,NYN,NL,141,503,81,151,29,0,36,94,0,2,67,87,19,2,0,1,20
37,2002,ATL,NL,sheffga01,OF,9916667,2001,1,LAN,NL,143,515,98,160,28,2,36,100,10,4,94,67,13,4,0,5,12
337,2002,TEX,AL,gonzaju03,OF,11000000,2001,1,CLE,AL,140,532,97,173,34,1,35,140,1,0,41,94,5,6,0,16,18
149,2002,HOU,NL,berkmla01,OF,500000,2001,1,HOU,NL,156,577,110,191,55,5,34,126,7,9,92,121,5,13,0,6,8
238,2002,NYN,NL,burnije01,OF,7166667,2001,1,MIL,NL,154,562,104,141,32,4,34,100,0,4,80,150,9,5,0,4,8
348,2002,TOR,AL,cruzjo02,OF,3950000,2001,1,TOR,AL,146,577,92,158,38,4,34,88,32,5,45,138,4,1,2,2,8
217,2002,MON,NL,guerrvl01,OF,8000000,2001,1,MON,NL,159,599,107,184,45,4,34,108,37,16,60,88,24,9,0,3,24
32,2002,ATL,NL,jonesan01,OF,10000000,2001,1,ATL,NL,161,625,104,157,25,2,34,104,11,4,56,142,3,3,0,9,10
318,2002,SLN,NL,martiti02,1B,5750000,2001,1,NYA,AL,154,589,89,165,24,2,34,113,1,2,42,89,2,2,0,2,12
273,2002,PIT,NL,ramirar01,3B,500000,2001,1,PIT,NL,158,603,83,181,40,0,34,112,5,4,40,100,4,8,0,4,9
310,2002,SFN,NL,sandere02,OF,1750000,2001,1,ARI,NL,126,441,84,116,21,3,33,90,14,10,46,126,7,5,1,3,2
246,2002,OAK,AL,chaveer01,SS,2125000,2001,1,OAK,AL,151,552,91,159,43,0,32,114,8,2,41,99,9,4,0,7,7
70,2002,CHA,AL,konerpa01,1B,3800000,2001,1,CHA,AL,156,582,92,164,35,0,32,99,1,0,54,89,6,9,0,5,17
258,2002,PHI,NL,abreubo01,OF,6333333,2001,1,PHI,NL,162,588,118,170,48,4,31,110,36,14,106,137,11,1,0,9,13
138,2002,FLO,NL,floydcl01,OF,6500000,2001,1,FLO,NL,149,555,123,176,44,4,31,103,18,3,59,101,19,10,0,5,9
74,2002,CHA,AL,ordonma01,OF,6500000,2001,1,CHA,AL,160,593,97,181,40,1,31,113,25,7,70,70,7,5,0,3,14
256,2002,OAK,AL,tejadmi01,SS,3625000,2001,1,OAK,AL,162,622,107,166,31,3,31,113,11,5,43,89,5,13,1,4,14
316,2002,SLN,NL,edmonji01,OF,7333333,2001,1,SLN,NL,150,500,95,152,38,1,30,110,5,5,93,136,12,4,1,10,8
283,2002,SDN,NL,kleskry01,1B,6000000,2001,1,SDN,NL,146,538,105,154,34,6,30,113,23,4,88,89,7,3,0,9,16
170,2002,KCA,AL,sweenmi01,1B,8000000,2001,1,KCA,AL,147,559,97,170,46,0,29,99,10,3,64,64,13,2,1,6,13
0,2002,ANA,AL,anderga01,OF,5000000,2001,1,ANA,AL,161,672,83,194,39,2,28,123,13,6,27,100,4,0,0,5,12
106,2002,CLE,AL,burksel01,OF,6666667,2001,1,CLE,AL,124,439,83,123,29,1,28,74,5,1,62,85,2,5,0,9,16
75,2002,CHA,AL,valenjo03,SS,5000000,2001,1,CHA,AL,124,438,74,113,22,2,28,68,9,6,50,114,2,3,8,3,7
76,2002,CHN,NL,aloumo01,OF,6000000,2001,1,HOU,NL,136,513,79,170,31,1,27,108,5,1,57,57,14,3,0,8,18
260,2002,PHI,NL,burrepa01,OF,1905000,2001,1,PHI,NL,155,539,70,139,29,2,27,89,2,1,70,162,7,5,0,4,12
315,2002,SLN,NL,drewjd01,OF,3100000,2001,1,SLN,NL,109,375,80,121,18,5,27,73,13,3,57,75,4,4,3,4,6
204,2002,MIN,AL,hunteto01,OF,2400000,2001,1,MIN,AL,148,564,82,147,32,5,27,92,9,6,29,125,0,8,1,1,12
352,2002,TOR,AL,mondera01,OF,11000000,2001,1,TOR,AL,149,572,88,144,26,4,27,84,30,11,73,128,3,6,0,2,13
59,2002,BOS,AL,nixontr01,OF,2700000,2001,1,BOS,AL,148,535,100,150,31,4,27,88,7,4,79,113,1,7,6,6,8
206,2002,MIN,AL,koskico01,3B,2150000,2001,1,MIN,AL,153,562,100,155,37,2,26,103,27,6,68,118,9,12,0,7,16
