,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
278,2004,COL,NL,hockide01,SS,650000,2003,1,MIN,AL,83,188,22,45,10,2,3,22,0,1,15,37,0,0,3,3,3
802,2004,TEX,AL,barajro01,C,500000,2003,1,ARI,NL,80,220,19,48,15,0,3,28,0,0,14,43,7,1,1,3,6
411,2004,KCA,AL,stinnke01,C,500000,2003,1,CIN,NL,60,179,14,41,13,0,3,19,0,0,13,51,3,4,2,1,3
229,2004,CIN,NL,valenja01,C,500000,2003,1,TBA,AL,49,135,13,30,7,1,3,15,0,0,5,31,0,1,0,1,7
248,2004,CLE,AL,lakerti01,C,450000,2003,1,CLE,AL,52,162,17,39,11,0,3,21,2,2,9,38,1,0,5,0,4
686,2004,SDN,NL,vazqura01,SS,342500,2003,1,SDN,NL,116,422,56,110,17,4,3,30,10,3,52,88,2,2,5,3,4
653,2004,PIT,NL,redmati01,OF,321000,2003,1,PIT,NL,56,230,36,76,16,5,3,19,7,3,14,18,0,2,2,0,1
240,2004,CLE,AL,crispco01,OF,319400,2003,1,CLE,AL,99,414,55,110,15,6,3,27,15,9,23,51,1,0,7,3,4
583,2004,OAK,AL,dyeje01,OF,11666667,2003,1,OAK,AL,65,221,28,38,6,0,4,20,1,0,25,42,2,3,0,4,11
5,2004,ANA,AL,erstada01,OF,7750000,2003,1,ANA,AL,67,258,35,65,7,1,4,17,9,1,18,40,1,4,2,2,8
607,2004,PHI,NL,bellda01,3B,4400000,2003,1,PHI,NL,85,297,32,58,14,0,4,37,0,0,41,40,1,4,0,6,7
32,2004,ARI,NL,bautida01,OF,4000000,2003,1,ARI,NL,88,284,29,78,16,3,4,36,3,2,21,50,2,4,2,3,7
714,2004,SEA,AL,wilsoda01,C,3500000,2003,1,SEA,AL,96,316,32,76,15,2,4,43,0,0,15,52,0,0,3,3,8
317,2004,DET,AL,vinafe01,2B,3000000,2003,1,SLN,NL,61,259,35,65,14,4,4,23,4,4,11,24,0,11,3,1,5
503,2004,MON,NL,diazei01,C,2587500,2003,1,TEX,AL,101,334,30,86,14,1,4,35,3,1,9,32,0,10,4,4,12
419,2004,LAN,NL,coraal01,SS,1300000,2003,1,LAN,NL,148,477,39,119,24,3,4,34,4,2,16,59,3,10,9,2,5
354,2004,HOU,NL,ausmubr01,C,1000000,2003,1,HOU,NL,143,450,43,103,12,2,4,47,5,3,46,66,1,4,4,5,8
31,2004,ARI,NL,baergca01,3B,1000000,2003,1,ARI,NL,105,207,31,71,13,0,4,39,1,1,18,20,1,2,1,3,6
162,2004,CHA,AL,perezti01,OF,850000,2003,1,NYN,NL,127,346,32,93,21,0,4,42,5,6,18,29,1,2,7,9,5
834,2004,TOR,AL,bergda01,SS,800000,2003,1,TOR,AL,61,161,26,41,6,1,4,18,0,1,11,34,0,0,1,1,7
126,2004,BOS,AL,kaplega01,OF,750000,2003,2,BOS,AL,68,158,29,46,11,1,4,23,4,2,14,23,0,0,0,0,5
185,2004,CHN,NL,maciajo01,OF,750000,2003,1,MON,NL,111,272,31,65,15,2,4,22,4,3,11,45,1,2,2,1,5
453,2004,MIL,NL,grievbe01,OF,700000,2003,1,TBA,AL,55,165,28,38,7,0,4,17,0,0,32,41,1,6,0,2,3
650,2004,PIT,NL,nunezab01,SS,625000,2003,1,PIT,NL,118,311,37,77,8,7,4,35,9,3,26,53,1,3,9,2,8
611,2004,PHI,NL,glanvdo01,OF,550000,2003,1,TEX,AL,52,195,22,53,5,0,4,14,4,0,6,25,1,0,2,0,2
744,2004,SFN,NL,torreyo01,OF,334000,2003,1,SFN,NL,66,200,22,52,10,2,4,29,1,0,14,39,1,2,3,2,3
462,2004,MIL,NL,overbly01,1B,326000,2003,1,ARI,NL,86,254,23,70,20,0,4,28,1,0,35,67,7,2,0,2,8
205,2004,CIN,NL,freelry01,OF,320000,2003,1,CIN,NL,43,137,23,39,6,1,4,12,9,4,9,13,1,4,2,1,2
679,2004,SDN,NL,ojedami01,C,305000,2003,1,SDN,NL,61,141,13,33,6,0,4,22,1,1,18,26,2,3,0,1,2
112,2004,BAL,AL,seguida01,1B,7000000,2003,1,BAL,AL,67,224,26,59,10,1,5,25,1,0,26,47,2,1,0,1,8
521,2004,NYA,AL,cairomi01,SS,900000,2003,1,SLN,NL,92,261,41,64,15,2,5,32,4,1,13,30,1,6,3,7,6
113,2004,BAL,AL,surhobj01,OF,800000,2003,1,BAL,AL,93,319,32,94,20,0,5,41,2,2,29,29,3,1,3,2,4
67,2004,ATL,NL,francju01,1B,750000,2003,1,ATL,NL,103,197,28,58,12,2,5,31,0,1,25,43,5,0,0,1,8
623,2004,PHI,NL,perezto03,SS,750000,2003,1,PHI,NL,125,298,39,79,18,1,5,33,0,1,23,54,11,0,4,2,7
149,2004,CHA,AL,alomasa02,C,700000,2003,1,CHA,AL,75,194,22,52,12,0,5,26,0,0,4,17,0,0,5,1,4
226,2004,CIN,NL,penawi01,OF,345000,2003,1,CIN,NL,80,165,20,36,6,1,5,16,3,2,12,53,2,3,1,0,2
110,2004,BAL,AL,roberbr01,SS,345000,2003,1,BAL,AL,112,460,65,124,22,4,5,41,23,6,46,58,1,1,4,1,9
777,2004,TBA,AL,crawfca02,OF,320000,2003,1,TBA,AL,151,630,80,177,18,9,5,54,55,10,26,102,4,1,1,3,5
454,2004,MIL,NL,hallbi03,SS,310000,2003,1,MIL,NL,52,142,23,37,9,2,5,20,1,2,7,28,0,1,4,1,5
562,2004,NYN,NL,reyesjo01,SS,307500,2003,1,NYN,NL,69,274,47,84,12,4,5,32,13,3,13,36,0,0,2,3,1
644,2004,PIT,NL,kendaja01,C,8571429,2003,1,PIT,NL,150,587,84,191,29,3,6,58,8,7,49,40,3,25,1,3,9
331,2004,FLO,NL,castilu01,2B,4666667,2003,1,FLO,NL,152,595,99,187,19,6,6,39,21,19,63,60,0,2,15,1,7
693,2004,SEA,AL,davisbe01,C,1400000,2003,1,SEA,AL,80,246,25,58,18,0,6,42,0,0,18,61,2,0,1,4,5
812,2004,TEX,AL,jordabr01,OF,1250000,2003,1,LAN,NL,66,224,28,67,9,0,6,28,1,1,23,30,3,4,0,2,3
692,2004,SEA,AL,cabrejo02,SS,1000000,2003,1,LAN,NL,128,347,43,98,32,2,6,37,6,4,17,62,3,10,3,3,10
543,2004,NYA,AL,sierrru01,OF,1000000,2003,2,NYA,AL,63,174,19,48,8,1,6,31,1,0,13,20,2,0,0,2,7
575,2004,NYN,NL,zeileto01,3B,1000000,2003,1,NYA,AL,66,186,29,39,8,0,6,23,0,0,24,36,0,0,0,4,3
135,2004,BOS,AL,mirabdo01,C,825000,2003,1,BOS,AL,62,163,23,42,13,0,6,18,0,0,11,36,0,1,0,1,3
553,2004,NYN,NL,garcika01,OF,800000,2003,2,NYA,AL,52,151,17,46,5,0,6,21,0,2,9,32,1,0,0,1,4
49,2004,ARI,NL,maynebr01,C,800000,2003,1,KCA,AL,113,372,39,91,17,1,6,36,0,2,32,59,5,3,4,3,10
118,2004,BOS,AL,burksel01,OF,750000,2003,1,CLE,AL,55,198,27,52,11,1,6,28,1,1,27,46,2,3,0,0,4
64,2004,ATL,NL,derosma01,SS,725000,2003,1,ATL,NL,103,266,40,70,14,0,6,22,1,0,16,49,0,5,0,1,6
780,2004,TBA,AL,fordybr01,C,650000,2003,1,BAL,AL,108,348,28,95,12,2,6,31,2,3,19,44,1,1,6,2,10
748,2004,SLN,NL,anderma02,OF,600000,2003,1,TBA,AL,145,482,59,130,27,3,6,67,19,3,41,60,5,3,4,5,6
308,2004,DET,AL,nortogr01,OF,600000,2003,1,COL,NL,114,179,19,47,15,0,6,31,2,1,16,47,0,1,0,1,4
120,2004,BOS,AL,daubabr01,OF,500000,2003,1,CHA,AL,95,183,26,42,11,0,6,21,1,0,34,54,1,1,0,1,3
595,2004,OAK,AL,mcmilbi01,OF,450000,2003,1,OAK,AL,66,153,15,41,11,0,6,26,0,0,19,36,1,2,0,1,3
446,2004,MIL,NL,clarkbr02,OF,376000,2003,1,MIL,NL,128,315,33,86,21,1,6,40,13,2,21,40,0,9,2,7,12
164,2004,CHA,AL,rowanaa01,OF,340000,2003,1,CHA,AL,93,157,22,45,8,0,6,24,0,0,7,21,0,3,2,1,1
645,2004,PIT,NL,mackoro01,OF,335000,2003,1,PIT,NL,77,174,20,47,4,4,6,19,6,0,15,53,2,4,0,0,1
160,2004,CHA,AL,olivomi01,C,320000,2003,1,CHA,AL,114,317,37,75,19,1,6,27,6,4,19,80,0,4,4,2,3
