yearID_x,teamID_x,lgID_x,playerID,POS,salary
2015,TEX,AL,fieldpr01,1B,24000000
2015,MIN,AL,mauerjo01,1B,23000000
2015,CIN,NL,vottojo01,1B,14000000
2015,MIL,NL,lindad01,1B,7500000
2015,KCA,AL,moralke01,1B,6500000
2015,TOR,AL,smoakju01,1B,1000000
2015,KCA,AL,hosmeer01,1B,5650000
2015,MIN,AL,vargake01,1B,517500
2015,OAK,AL,butlebi03,1B,6666000
2015,TBA,AL,loneyja01,1B,8666666
2015,OAK,AL,davisik02,1B,3800000
2015,LAA,AL,croncj01,1B,512500
2015,HOU,AL,singljo02,1B,2000000
2015,SLN,NL,adamsma01,1B,534000
2015,BOS,AL,napolmi01,1B,16000000
2015,COL,NL,morneju01,1B,6750000
2015,ATL,NL,freemfr01,1B,8500000
2015,ARI,NL,goldspa01,1B,3100000
2015,NYA,AL,teixema01,1B,23125000
2015,PHI,NL,howarry01,1B,25000000
2015,CHA,AL,larocad01,1B,12000000
2015,LAN,NL,gonzaad01,1B,21857000
2015,CHN,NL,rizzoan01,1B,5000000
2015,BOS,AL,ortizda01,1B,16000000
2015,CHA,AL,abreujo02,1B,8666000
