yearID_x,teamID_x,lgID_x,playerID,POS,salary
2013,PIT,NL,sanchga01,1B,1750000
2013,TBA,AL,loneyja01,1B,2000000
2013,COL,NL,heltoto01,1B,6175000
2013,SDN,NL,alonsyo01,1B,1120000
2013,TOR,AL,lindad01,1B,5150000
2013,CIN,NL,vottojo01,1B,18910655
2013,PHI,NL,howarry01,1B,20000000
2013,TBA,AL,scottlu01,1B,2750000
2013,CHN,NL,rizzoan01,1B,498000
2013,LAN,NL,gonzaad01,1B,21857143
2013,HOU,AL,cartech02,1B,494000
2013,HOU,AL,penaca01,1B,2900000
2013,MIN,AL,morneju01,1B,15000000
2013,SEA,AL,smoakju01,1B,514000
2013,ARI,NL,goldspa01,1B,500000
2013,SEA,AL,moralke01,1B,5250000
2013,ATL,NL,freemfr01,1B,560000
2013,BOS,AL,ortizda01,1B,14500000
2013,NYA,AL,teixema01,1B,23125000
2013,CHA,AL,konerpa01,1B,12501506
2013,KCA,AL,butlebi03,1B,8500000
2013,DET,AL,fieldpr01,1B,23000000
2013,NYN,NL,davisik02,1B,3125000
2013,WAS,NL,larocad01,1B,10000000
