,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
798,2003,TEX,AL,rodrial01,SS,22000000,2002,1,TEX,AL,162,624,125,187,27,2,57,142,9,4,87,122,12,10,0,4,14
612,2003,PHI,NL,thomeji01,1B,11166667,2002,1,CLE,AL,147,480,101,146,19,2,52,118,1,2,122,139,18,5,0,6,5
188,2003,CHN,NL,sosasa01,OF,16000000,2002,1,CHN,NL,150,556,122,160,19,2,49,108,2,0,103,144,15,3,0,4,14
705,2003,SFN,NL,bondsba01,OF,15500000,2002,1,SFN,NL,143,403,117,149,31,2,46,110,9,2,198,47,68,9,0,2,4
794,2003,TEX,AL,palmera01,1B,9000000,2002,1,TEX,AL,155,546,99,149,34,0,43,105,2,0,104,94,16,6,0,7,10
342,2003,HOU,NL,berkmla01,OF,3500000,2002,1,HOU,NL,158,578,106,169,35,2,42,128,8,4,107,118,20,4,0,3,10
399,2003,LAN,NL,greensh01,OF,15666667,2002,1,LAN,NL,158,582,110,166,31,1,42,114,8,5,93,112,22,5,0,5,26
503,2003,NYA,AL,giambja01,1B,11428571,2002,1,NYA,AL,155,560,120,176,34,1,41,122,2,2,109,112,4,15,0,5,18
484,2003,MON,NL,guerrvl01,OF,11500000,2002,1,MON,NL,161,614,106,206,37,2,39,111,40,20,84,70,32,6,0,5,20
517,2003,NYA,AL,soriaal01,2B,800000,2002,1,NYA,AL,156,696,128,209,51,2,39,102,41,13,23,157,1,14,1,7,8
619,2003,PIT,NL,gilesbr02,OF,8833333,2002,1,PIT,NL,153,497,95,148,37,5,38,103,15,6,135,74,24,7,0,5,10
154,2003,CHA,AL,ordonma01,OF,9000000,2002,1,CHA,AL,153,590,116,189,47,1,38,135,7,5,53,77,2,7,0,3,21
587,2003,PHI,NL,burrepa01,OF,1250000,2002,1,PHI,NL,157,586,96,165,39,2,37,116,1,0,89,153,9,3,0,6,16
354,2003,HOU,NL,kentje01,2B,7500000,2002,1,SFN,NL,152,623,102,195,42,2,37,108,5,1,52,101,3,4,0,3,20
67,2003,ATL,NL,jonesan01,OF,12000000,2002,1,ATL,NL,154,560,91,148,34,0,35,94,8,3,83,135,4,10,0,6,14
560,2003,OAK,AL,chaveer01,OF,3675000,2002,1,OAK,AL,153,585,87,161,31,3,34,109,8,3,65,119,13,1,0,2,8
746,2003,SLN,NL,pujolal01,SS,900000,2002,1,SLN,NL,157,590,118,185,40,2,34,127,2,4,72,69,13,9,0,4,20
582,2003,OAK,AL,tejadmi01,SS,5125000,2002,1,OAK,AL,162,662,108,204,30,0,34,131,7,2,38,84,3,11,0,4,21
813,2003,TOR,AL,delgaca01,1B,18700000,2002,1,TOR,AL,143,505,103,140,34,2,33,108,1,0,102,126,18,13,0,8,8
544,2003,NYN,NL,piazzmi01,C,15571429,2002,1,NYN,NL,135,478,69,134,23,2,33,98,0,3,57,82,9,3,0,3,26
128,2003,BOS,AL,ramirma02,OF,20000000,2002,1,BOS,AL,120,436,84,152,31,0,33,107,0,0,73,85,14,8,0,1,13
229,2003,CLE,AL,burksel01,OF,7166667,2002,1,CLE,AL,138,518,92,156,28,0,32,91,2,3,44,108,3,6,1,1,13
341,2003,HOU,NL,bagweje01,1B,13000000,2002,1,HOU,NL,158,571,94,166,33,2,31,98,7,3,101,130,8,10,0,9,16
76,2003,BAL,AL,batisto01,3B,6400000,2002,1,BAL,AL,161,615,90,150,36,1,31,87,5,4,50,107,9,11,0,6,13
8,2003,ANA,AL,glaustr01,SS,7250000,2002,1,ANA,AL,156,569,99,142,24,1,30,111,10,3,88,144,4,6,0,8,12
260,2003,COL,NL,heltoto01,1B,10600000,2002,1,COL,NL,156,553,107,182,39,4,30,109,5,1,99,91,21,5,0,10,10
408,2003,LAN,NL,mcgrifr01,1B,3750000,2002,1,CHN,NL,146,523,67,143,27,2,30,103,1,2,63,99,6,4,0,5,13
0,2003,ANA,AL,anderga01,OF,5350000,2002,1,ANA,AL,158,638,93,195,56,3,29,123,6,4,30,80,11,0,0,10,11
