YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA
2000,SDN,NL,verasqu01,2B,3000000,1999,SDN,NL,132,475,95,133,25,2,6,41,30,17,65,88,0,2,1,2,7,0.367,0.379,0,1,545
2000,MIN,AL,walketo04,2B,322500,1999,MIN,AL,143,531,62,148,37,4,6,46,18,10,52,83,5,1,0,2,15,0.343,0.397,0,1,591
2000,BOS,AL,offerjo01,2B,5750000,1999,BOS,AL,149,586,107,172,37,11,8,69,18,12,96,79,5,2,2,7,11,0.390,0.435,0,1,698
2000,ANA,AL,velarra01,2B,3050000,1999,ANA,AL,95,376,57,115,15,4,9,48,13,4,43,56,1,4,2,0,8,0.381,0.439,0,1,426
2000,KCA,AL,febleca01,2B,250000,1999,KCA,AL,123,453,71,116,22,9,10,53,20,4,47,91,0,9,12,3,16,0.328,0.411,0,1,524
2000,CHA,AL,durhara01,2B,4900000,1999,CHA,AL,153,612,109,181,30,8,13,60,34,11,73,105,1,4,3,2,9,0.372,0.435,0,1,695
2000,PIT,NL,morriwa02,2B,300000,1999,PIT,NL,147,511,65,147,20,3,15,73,3,7,59,88,3,2,4,5,12,0.358,0.427,0,1,584
2000,NYA,AL,knoblch01,2B,6000000,1999,NYA,AL,150,603,120,176,36,4,18,68,28,9,83,57,0,21,3,5,7,0.392,0.454,0,1,715
2000,ATL,NL,boonebr01,2B,3750000,1999,ATL,NL,152,608,102,153,38,1,20,63,14,9,47,112,0,5,9,2,11,0.306,0.416,0,1,671
2000,SFN,NL,kentje01,2B,6000000,1999,SFN,NL,138,511,86,148,40,2,23,101,13,6,61,112,3,5,0,8,12,0.366,0.511,0,1,588
2000,CLE,AL,alomaro01,2B,7196656,1999,CLE,AL,159,563,138,182,40,3,24,120,37,6,99,96,3,7,12,13,13,0.415,0.533,0,1,697
2000,NYN,NL,alfoned01,2B,4225000,1999,NYN,NL,158,628,123,191,41,1,27,108,9,2,85,85,2,3,1,9,14,0.384,0.502,0,1,728
2000,ATL,NL,lockhke01,3B,1000000,1999,ATL,NL,108,161,20,42,3,1,1,21,3,1,19,21,0,1,0,3,2,0.337,0.311,0,1,184
2000,SFN,NL,muellbi02,3B,1325000,1999,SFN,NL,116,414,61,120,24,0,2,36,4,2,65,52,1,3,8,2,11,0.382,0.362,0,1,493
2000,SDN,NL,magadda01,3B,775000,1999,SDN,NL,116,248,20,68,12,1,2,30,1,3,45,36,2,0,0,7,10,0.377,0.355,0,1,302
