YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,Birth year,Age,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,OBP,SLG,Catcher,Infielder,PA,Age_Dummy
2001,PHI,NL,anderma02,2B,280000,2000,1974,26,PHI,NL,41,162,10,37,8,1,1,15,2,2,12,22,0,0,0,0,5,0.282,0.309,0,1,174,1
2001,TOR,AL,bushho01,2B,2550000,2000,1972,28,TOR,AL,76,297,38,64,8,0,1,18,9,4,18,60,0,5,4,1,10,0.268,0.253,0,1,325,0
2001,FLO,NL,castilu01,2B,2200000,2000,1975,25,FLO,NL,136,539,101,180,17,3,2,17,62,22,78,86,0,0,9,0,11,0.412,0.388,0,1,626,1
2001,KCA,AL,febleca01,2B,310000,2000,1976,24,KCA,AL,100,339,59,87,12,1,2,29,17,6,36,48,1,10,13,1,10,0.333,0.316,0,1,400,1
2001,SLN,NL,vinafe01,2B,4333333,2000,1969,31,SLN,NL,123,487,81,146,24,6,4,31,10,8,36,36,0,28,2,1,5,0.379,0.398,0,1,554,0
2001,BAL,AL,hairsje02,2B,235000,2000,1976,24,BAL,AL,49,180,27,46,5,0,5,19,8,5,21,22,0,6,5,0,8,0.344,0.367,0,1,212,1
2001,NYA,AL,knoblch01,2B,6000000,2000,1968,32,NYA,AL,102,400,75,113,22,2,5,26,15,7,46,45,0,8,1,2,6,0.365,0.385,0,1,457,0
2001,ATL,NL,verasqu01,2B,3900000,2000,1971,29,ATL,NL,84,298,56,92,15,0,5,37,25,12,51,50,0,5,6,4,8,0.407,0.409,0,1,364,0
2001,CHN,NL,younger01,2B,4500000,2000,1967,33,CHN,NL,153,607,98,180,40,2,6,47,54,7,63,39,1,8,7,5,12,0.364,0.399,0,1,691,0
2001,MIN,AL,canizja01,2B,235000,2000,1973,27,MIN,AL,102,346,43,93,21,1,7,40,4,2,24,57,0,1,0,0,8,0.318,0.396,0,1,371,1
2001,COL,NL,walketo04,2B,1050000,2000,1973,27,COL,NL,57,171,28,54,10,4,7,36,4,1,20,19,0,1,1,3,2,0.383,0.544,0,1,196,1
2001,MIL,NL,belliro01,2B,310000,2000,1975,25,MIL,NL,152,571,83,150,30,9,8,54,7,5,82,84,4,3,4,7,12,0.352,0.389,0,1,671,1
2001,HOU,NL,biggicr01,2B,7750000,2000,1965,35,HOU,NL,101,377,67,101,13,5,8,35,12,2,61,73,3,16,7,5,10,0.382,0.393,0,1,469,0
2001,ANA,AL,kennead01,2B,280000,2000,1976,24,ANA,AL,156,598,82,159,33,11,9,72,22,8,28,73,5,3,8,4,10,0.296,0.403,0,1,646,1
2001,BOS,AL,offerjo01,2B,6750000,2000,1968,32,BOS,AL,116,451,73,115,14,3,9,41,0,8,70,70,0,1,2,3,9,0.353,0.359,0,1,527,0
2001,CIN,NL,reesepo01,2B,3200000,2000,1973,27,CIN,NL,135,518,76,132,20,6,12,46,29,3,45,86,5,6,3,5,8,0.317,0.386,0,1,582,1
2001,TEX,AL,velarra01,2B,3150000,2000,1962,38,OAK,AL,122,485,82,135,23,0,12,41,9,3,54,95,0,3,3,1,15,0.352,0.400,0,1,546,0
2001,DET,AL,easleda01,2B,5075000,2000,1969,31,DET,AL,126,464,76,120,27,2,14,58,13,4,55,79,1,11,4,1,11,0.348,0.416,0,1,536,0
2001,CHA,AL,durhara01,2B,9000000,2000,1971,29,CHA,AL,151,614,121,172,35,9,17,75,25,13,75,105,0,7,5,8,13,0.358,0.450,0,1,709,0
2001,ARI,NL,bellja01,2B,8050000,2000,1965,35,ARI,NL,149,565,87,151,30,6,18,68,7,3,70,88,0,3,6,5,7,0.345,0.437,0,1,649,0
2001,CLE,AL,alomaro01,2B,7750000,2000,1968,32,CLE,AL,155,610,111,189,40,2,19,89,39,4,64,82,4,6,11,6,19,0.372,0.475,0,1,701,0
2001,SEA,AL,boonebr01,2B,3250000,2000,1969,31,SDN,NL,127,463,61,116,18,2,19,74,8,4,50,97,7,5,0,7,11,0.326,0.421,0,1,532,0
2001,MON,NL,vidrojo01,2B,2500000,2000,1974,26,MON,NL,153,606,101,200,51,2,24,97,5,4,49,69,4,2,0,6,17,0.379,0.540,0,1,667,1
2001,NYN,NL,alfoned01,2B,5750000,2000,1973,27,NYN,NL,150,544,109,176,40,2,25,94,3,2,95,70,1,5,0,6,12,0.425,0.542,0,1,651,1
2001,SFN,NL,kentje01,2B,6000000,2000,1968,32,SFN,NL,159,587,114,196,41,7,33,125,12,9,90,107,6,9,0,9,17,0.424,0.596,0,1,701,0
2001,TOR,AL,fryeje01,3B,1000000,2000,1966,34,BOS,AL,69,239,35,69,13,0,1,13,1,3,28,38,0,1,4,1,5,0.359,0.356,0,1,273,0
2001,ATL,NL,lockhke01,3B,800000,2000,1964,36,ATL,NL,113,275,32,73,12,3,2,32,4,1,29,31,7,0,5,4,10,0.326,0.353,0,1,320,0
2001,PHI,NL,jordake01,3B,700000,2000,1969,31,PHI,NL,109,337,30,74,16,2,5,36,0,1,17,41,0,1,0,3,11,0.257,0.323,0,1,358,0
2001,TBA,AL,castivi02,3B,7250000,2000,1967,33,TBA,AL,85,331,22,73,9,1,6,42,1,2,14,41,3,3,0,6,9,0.254,0.308,0,1,357,0
2001,COL,NL,nortogr01,3B,450000,2000,1972,28,CHA,AL,71,201,25,49,6,1,6,28,1,0,26,47,0,2,0,2,2,0.333,0.373,0,1,231,0
2001,PIT,NL,ramirar01,3B,285000,2000,1978,22,PIT,NL,73,254,19,65,15,2,6,35,0,0,10,36,0,5,1,4,9,0.292,0.402,0,1,274,1
2001,TBA,AL,smithbo06,3B,255000,2000,1974,26,TBA,AL,49,175,21,41,8,0,6,26,2,2,14,59,1,1,0,1,6,0.293,0.383,0,1,192,1
2001,SFN,NL,davisru01,3B,1300000,2000,1969,31,SFN,NL,80,180,27,47,5,0,9,24,0,3,9,29,0,2,0,1,1,0.302,0.439,0,1,192,0
2001,HOU,NL,hayesch01,3B,500000,2000,1965,35,MIL,NL,121,370,46,93,17,0,9,46,1,1,57,84,4,1,0,6,11,0.348,0.370,0,1,438,0
2001,MIN,AL,koskico01,3B,300000,2000,1973,27,MIN,AL,146,474,79,142,32,4,9,65,5,4,77,104,7,4,1,3,11,0.399,0.441,0,1,566,1
2001,OAK,AL,saenzol01,3B,290000,2000,1970,30,OAK,AL,76,214,40,67,12,2,9,33,1,0,25,40,2,7,0,1,6,0.401,0.514,0,1,249,0
2001,CHN,NL,muellbi02,3B,2750000,2000,1971,29,SFN,NL,153,560,97,150,29,4,10,55,4,2,52,62,0,6,7,6,16,0.330,0.388,0,1,631,0
2001,COL,NL,cirilje01,3B,4850000,2000,1969,31,COL,NL,157,598,111,195,53,2,11,115,3,4,67,72,4,6,1,12,19,0.392,0.477,0,1,688,0
2001,BOS,AL,lansimi01,3B,6250000,2000,1968,32,COL,NL,90,365,62,94,14,6,11,47,8,2,31,49,1,0,3,1,13,0.313,0.419,0,1,401,0
2001,MON,NL,tracyan01,3B,218000,2000,1973,27,MON,NL,83,192,29,50,8,1,11,32,1,0,22,61,1,2,0,2,3,0.339,0.484,0,1,219,1
2001,HOU,NL,trubych01,3B,237500,2000,1973,27,HOU,NL,78,258,28,67,15,4,11,59,2,1,10,56,1,5,1,5,4,0.294,0.477,0,1,280,1
2001,CHA,AL,perryhe01,3B,975000,2000,1969,31,CHA,AL,109,383,69,118,29,1,12,61,4,1,22,68,1,9,2,4,13,0.355,0.483,0,1,421,0
2001,ARI,NL,willima04,3B,9000000,2000,1965,35,ARI,NL,96,371,43,102,18,2,12,47,1,2,20,51,1,3,0,3,11,0.315,0.431,0,1,398,0
2001,TEX,AL,caminke01,3B,3500000,2000,1963,37,HOU,NL,59,208,42,63,13,0,15,45,3,0,42,37,8,1,0,2,7,0.419,0.582,0,1,261,0
2001,ARI,NL,colbrgr01,3B,1600000,2000,1969,31,ARI,NL,116,329,48,103,22,1,15,57,0,1,43,45,2,10,0,3,13,0.405,0.523,0,1,387,0
