,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
827,2004,TEX,AL,soriaal01,2B,5400000,2003,1,NYA,AL,156,682,114,198,36,5,38,91,35,8,38,130,7,12,0,2,8
691,2004,SEA,AL,boonebr01,2B,8000000,2003,1,SEA,AL,159,622,111,183,35,5,35,117,16,3,68,125,3,7,1,7,17
367,2004,HOU,NL,kentje01,2B,10000000,2003,1,HOU,NL,130,505,77,150,39,1,22,93,6,2,39,85,2,5,0,3,13
70,2004,ATL,NL,gilesma01,2B,430000,2003,1,ATL,NL,145,551,101,174,49,2,21,69,14,4,59,80,2,11,10,4,7
518,2004,MON,NL,vidrojo01,2B,7000000,2003,1,MON,NL,144,509,77,158,36,0,15,65,3,2,69,50,6,7,2,5,16
15,2004,ANA,AL,kennead01,2B,2500000,2003,1,ANA,AL,143,449,71,121,17,1,13,49,22,9,45,73,4,9,2,5,7
197,2004,CHN,NL,walketo04,2B,1750000,2003,1,BOS,AL,144,587,92,166,38,4,13,85,1,1,48,54,0,1,1,10,17
584,2004,OAK,AL,ellisma01,2B,323500,2003,1,OAK,AL,154,553,78,137,31,5,9,52,6,2,48,94,4,7,9,5,7
845,2004,TOR,AL,hudsoor01,2B,322000,2003,1,TOR,AL,142,474,54,127,21,6,9,57,5,4,39,87,1,5,0,3,13
720,2004,SFN,NL,durhara01,2B,7200000,2003,1,SFN,NL,110,410,61,117,30,5,8,33,7,7,50,82,2,3,4,2,4
483,2004,MIN,AL,rivaslu01,2B,1500000,2003,1,MIN,AL,135,475,69,123,16,9,8,43,17,7,30,65,0,5,8,3,20
235,2004,CLE,AL,belliro01,2B,1100000,2003,1,COL,NL,116,447,73,124,31,2,8,50,7,2,49,71,0,2,6,1,7
331,2004,FLO,NL,castilu01,2B,4666667,2003,1,FLO,NL,152,595,99,187,19,6,6,39,21,19,63,60,0,2,15,1,7
317,2004,DET,AL,vinafe01,2B,3000000,2003,1,SLN,NL,61,259,35,65,14,4,4,23,4,4,11,24,0,11,3,1,5
181,2004,CHN,NL,grudzma01,2B,2500000,2003,1,CHN,NL,121,481,73,151,38,1,3,38,6,2,30,64,0,11,7,2,12
98,2004,BAL,AL,hairsje02,2B,1650000,2003,1,BAL,AL,58,218,25,59,12,2,2,21,14,5,23,25,0,6,10,2,8
29,2004,ARI,NL,alomaro01,2B,1000000,2003,1,NYN,NL,73,263,34,69,17,1,2,22,6,0,29,40,2,2,4,4,8
343,2004,FLO,NL,lowelmi01,3B,6500000,2003,1,FLO,NL,130,492,76,136,27,1,32,105,3,1,56,78,6,3,0,6,14
579,2004,OAK,AL,chaveer01,3B,5325000,2003,1,OAK,AL,156,588,94,166,39,5,29,101,8,3,62,89,10,1,0,3,14
804,2004,TEX,AL,blaloha01,3B,550000,2003,1,TEX,AL,143,567,89,170,33,3,29,90,2,3,44,97,1,1,0,3,16
761,2004,SLN,NL,rolensc01,3B,8625000,2003,1,SLN,NL,154,559,98,160,49,1,28,104,13,3,82,104,5,9,0,7,19
496,2004,MON,NL,batisto01,3B,1500000,2003,1,BAL,AL,161,631,76,148,20,1,26,99,4,3,28,102,4,5,0,6,20
363,2004,HOU,NL,ensbemo01,3B,380000,2003,1,HOU,NL,127,385,69,112,15,1,25,60,7,2,48,60,1,6,1,1,10
455,2004,MIL,NL,helmswe01,3B,1687500,2003,1,MIL,NL,134,476,56,124,21,0,23,67,0,1,43,131,3,10,0,7,10
269,2004,COL,NL,castivi02,3B,2100000,2003,1,ATL,NL,147,542,65,150,28,3,22,76,1,2,26,86,3,3,1,6,22
152,2004,CHA,AL,credejo01,3B,340000,2003,1,CHA,AL,151,536,68,140,31,2,19,75,1,1,32,75,1,6,2,4,11
307,2004,DET,AL,munsoer01,3B,1487500,2003,1,DET,AL,99,313,28,75,9,0,18,50,3,0,35,61,1,1,1,7,4
43,2004,ARI,NL,hillesh02,3B,2600000,2003,2,ARI,NL,85,330,40,88,18,1,17,59,0,0,17,44,3,2,0,5,13
237,2004,CLE,AL,blakeca01,3B,352400,2003,1,CLE,AL,152,557,80,143,35,0,17,67,7,9,38,109,1,10,8,8,11
8,2004,ANA,AL,glaustr01,3B,9900000,2003,1,ANA,AL,91,319,53,79,17,2,16,50,7,2,46,73,4,1,0,1,8
404,2004,KCA,AL,randajo01,3B,3250000,2003,1,KCA,AL,131,502,80,146,31,1,16,72,1,0,41,61,0,7,9,7,12
473,2004,MIN,AL,koskico01,3B,4500000,2003,1,MIN,AL,131,469,76,137,29,2,14,69,11,5,77,113,5,7,0,9,5
624,2004,PHI,NL,polanpl01,3B,3950000,2003,1,PHI,NL,122,492,87,142,30,3,14,63,14,2,42,38,1,8,8,4,16
716,2004,SFN,NL,alfoned01,3B,6500000,2003,1,SFN,NL,142,514,56,133,25,2,13,81,5,2,58,41,4,4,3,7,14
193,2004,CHN,NL,ramirar01,3B,6000000,2003,1,PIT,NL,96,375,44,105,25,1,12,67,1,1,25,68,3,7,0,8,17
844,2004,TOR,AL,hinsker01,3B,900000,2003,1,TOR,AL,124,449,74,109,45,3,12,63,12,2,59,104,1,1,0,5,11
657,2004,PIT,NL,stynech01,3B,750000,2003,1,COL,NL,138,443,71,113,31,3,11,73,3,1,48,76,1,6,3,2,8
573,2004,NYN,NL,wiggity01,3B,316000,2003,1,NYN,NL,156,573,73,146,36,6,11,71,12,2,46,124,2,9,1,4,15
439,2004,LAN,NL,venturo01,3B,1200000,2003,1,NYA,AL,89,283,31,71,13,0,9,42,0,0,40,62,2,0,3,0,8
213,2004,CIN,NL,jimenda01,3B,1615000,2003,2,CIN,NL,73,290,34,84,13,2,7,31,7,4,34,43,0,2,2,3,4
664,2004,SDN,NL,burrose01,3B,340000,2003,1,SDN,NL,146,517,62,148,27,6,7,58,7,2,44,75,4,11,2,4,13
575,2004,NYN,NL,zeileto01,3B,1000000,2003,1,NYA,AL,66,186,29,39,8,0,6,23,0,0,24,36,0,0,0,4,3
607,2004,PHI,NL,bellda01,3B,4400000,2003,1,PHI,NL,85,297,32,58,14,0,4,37,0,0,41,40,1,4,0,6,7
31,2004,ARI,NL,baergca01,3B,1000000,2003,1,ARI,NL,105,207,31,71,13,0,4,39,1,1,18,20,1,2,1,3,6
665,2004,SDN,NL,cirilje01,3B,6975000,2003,1,SEA,AL,87,258,24,53,11,0,2,23,1,1,24,32,1,5,4,2,6
697,2004,SEA,AL,hanseda01,3B,750000,2003,1,SDN,NL,110,135,13,33,4,1,2,15,1,0,23,25,3,1,0,0,4
540,2004,NYA,AL,rodrial01,SS,22000000,2003,1,TEX,AL,161,607,124,181,30,6,47,118,17,3,87,126,10,15,0,6,16
123,2004,BOS,AL,garcino01,SS,11500000,2003,1,BOS,AL,156,658,120,198,37,13,28,105,19,5,39,61,1,11,1,10,10
169,2004,CHA,AL,valenjo03,SS,5000000,2003,1,CHA,AL,144,503,79,119,26,2,28,74,8,3,54,114,4,3,7,2,6
114,2004,BAL,AL,tejadmi01,SS,5000000,2003,1,OAK,AL,162,636,98,177,42,0,27,106,10,0,53,65,7,6,0,8,12
417,2004,LAN,NL,beltrad01,SS,5000000,2003,1,LAN,NL,158,559,50,134,30,2,23,80,2,2,37,103,4,5,1,6,13
179,2004,CHN,NL,gonzaal01,SS,5750000,2003,1,CHN,NL,152,536,71,122,37,0,20,59,3,3,47,123,1,6,8,4,17
136,2004,BOS,AL,muellbi02,SS,2100000,2003,1,BOS,AL,146,524,85,171,45,5,19,85,1,4,59,77,2,7,4,6,11
340,2004,FLO,NL,gonzaal02,SS,2800000,2003,1,FLO,NL,150,528,52,135,33,6,18,77,0,4,33,106,13,13,3,5,8
498,2004,MON,NL,cabreor01,SS,6000000,2003,1,MON,NL,162,626,95,186,47,2,17,80,24,2,52,64,3,1,3,9,18
389,2004,KCA,AL,berroan01,SS,372500,2003,1,KCA,AL,158,567,92,163,28,7,17,73,21,5,29,100,3,18,13,8,13
68,2004,ATL,NL,furcara01,SS,3700000,2003,1,ATL,NL,156,664,130,194,35,10,15,61,25,2,60,76,2,3,3,4,1
103,2004,BAL,AL,morame01,SS,2333333,2003,1,BAL,AL,96,344,68,109,17,1,15,48,6,3,49,71,0,12,6,2,3
789,2004,TBA,AL,lugoju01,SS,1750000,2003,2,TBA,AL,117,433,58,119,13,4,15,53,10,3,35,88,0,4,7,3,5
831,2004,TEX,AL,youngmi02,SS,450000,2003,1,TEX,AL,160,666,106,204,33,9,14,72,13,2,36,103,1,1,3,7,14
452,2004,MIL,NL,ginteke01,SS,383333,2003,1,MIL,NL,127,358,51,92,15,2,14,44,1,1,37,87,1,17,0,3,8
760,2004,SLN,NL,renteed01,SS,7250000,2003,1,SLN,NL,157,587,96,194,47,1,13,100,34,7,65,54,12,1,3,7,21
689,2004,SEA,AL,aurilri01,SS,3150000,2003,1,SFN,NL,129,505,65,140,26,1,13,58,2,2,36,82,0,1,0,3,18
677,2004,SDN,NL,loretma01,SS,2500000,2003,1,SDN,NL,154,589,74,185,28,4,13,72,5,4,54,62,2,3,3,4,17
34,2004,ARI,NL,cintral01,SS,335000,2003,1,ARI,NL,117,448,70,142,26,6,13,51,2,3,29,33,0,2,5,3,7
13,2004,ANA,AL,haltesh01,SS,575000,2003,1,DET,AL,114,360,33,78,5,2,12,30,2,3,27,77,0,0,3,3,11
271,2004,COL,NL,claytro01,SS,650000,2003,1,MIL,NL,146,483,49,110,16,1,11,39,5,2,49,92,10,3,4,4,25
531,2004,NYA,AL,jeterde01,SS,18600000,2003,1,NYA,AL,119,482,87,156,25,3,10,52,11,5,43,88,2,13,3,1,10
775,2004,TBA,AL,blumge01,SS,1500000,2003,1,HOU,NL,123,420,51,110,19,0,10,52,0,0,20,50,1,2,2,5,15
168,2004,CHA,AL,uribeju01,SS,350000,2003,1,COL,NL,87,316,45,80,19,3,10,33,7,2,17,60,0,3,6,1,3
662,2004,PIT,NL,wilsoja02,SS,1850000,2003,1,PIT,NL,150,558,58,143,21,3,9,62,5,5,36,74,3,4,11,6,11
203,2004,CIN,NL,castrju01,SS,1000000,2003,1,CIN,NL,113,320,28,81,14,1,9,33,2,3,18,58,1,0,7,3,7
626,2004,PHI,NL,rolliji01,SS,2425000,2003,1,PHI,NL,156,628,85,165,42,6,8,62,20,12,54,113,4,0,5,2,9
405,2004,KCA,AL,relafde01,SS,900000,2003,1,KCA,AL,141,500,70,127,27,5,8,59,20,4,40,70,1,6,8,3,10
364,2004,HOU,NL,everead01,SS,370000,2003,1,HOU,NL,128,387,51,99,18,3,8,51,8,1,28,66,6,9,11,1,7
297,2004,DET,AL,guillca01,SS,2500000,2003,1,SEA,AL,109,388,63,107,19,3,7,52,4,4,52,64,2,1,5,5,12
394,2004,KCA,AL,graffto01,SS,1100000,2003,1,CHA,AL,90,250,51,65,15,3,7,23,8,0,24,37,1,3,3,1,1
856,2004,TOR,AL,woodwch01,SS,775000,2003,1,TOR,AL,104,349,49,91,22,2,7,45,1,2,28,72,0,3,0,6,6
45,2004,ARI,NL,katama01,SS,315000,2003,1,ARI,NL,78,288,42,74,16,5,7,29,3,2,25,53,0,1,5,3,4
692,2004,SEA,AL,cabrejo02,SS,1000000,2003,1,LAN,NL,128,347,43,98,32,2,6,37,6,4,17,62,3,10,3,3,10
64,2004,ATL,NL,derosma01,SS,725000,2003,1,ATL,NL,103,266,40,70,14,0,6,22,1,0,16,49,0,5,0,1,6
521,2004,NYA,AL,cairomi01,SS,900000,2003,1,SLN,NL,92,261,41,64,15,2,5,32,4,1,13,30,1,6,3,7,6
623,2004,PHI,NL,perezto03,SS,750000,2003,1,PHI,NL,125,298,39,79,18,1,5,33,0,1,23,54,11,0,4,2,7
110,2004,BAL,AL,roberbr01,SS,345000,2003,1,BAL,AL,112,460,65,124,22,4,5,41,23,6,46,58,1,1,4,1,9
454,2004,MIL,NL,hallbi03,SS,310000,2003,1,MIL,NL,52,142,23,37,9,2,5,20,1,2,7,28,0,1,4,1,5
562,2004,NYN,NL,reyesjo01,SS,307500,2003,1,NYN,NL,69,274,47,84,12,4,5,32,13,3,13,36,0,0,2,3,1
419,2004,LAN,NL,coraal01,SS,1300000,2003,1,LAN,NL,148,477,39,119,24,3,4,34,4,2,16,59,3,10,9,2,5
834,2004,TOR,AL,bergda01,SS,800000,2003,1,TOR,AL,61,161,26,41,6,1,4,18,0,1,11,34,0,0,1,1,7
650,2004,PIT,NL,nunezab01,SS,625000,2003,1,PIT,NL,118,311,37,77,8,7,4,35,9,3,26,53,1,3,9,2,8
470,2004,MIN,AL,guzmacr01,SS,3725000,2003,1,MIN,AL,143,534,78,143,15,14,3,53,18,9,30,79,0,5,12,4,4
447,2004,MIL,NL,counscr01,SS,3166667,2003,1,ARI,NL,89,303,40,71,6,3,3,21,11,4,41,32,0,2,3,2,4
4,2004,ANA,AL,eckstda01,SS,2150000,2003,1,ANA,AL,120,452,59,114,22,1,3,31,16,5,36,45,0,15,10,4,9
381,2004,HOU,NL,vizcajo01,SS,1200000,2003,1,HOU,NL,91,189,14,47,7,3,3,26,0,1,8,22,3,1,4,1,5
187,2004,CHN,NL,martira03,SS,900000,2003,1,CHN,NL,108,293,30,83,16,1,3,34,0,1,24,50,1,2,6,8,8
