,playerID,salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
467,martied01,5400000.00,1999,1,SEA,AL,142,502,86,169,35,1,24,86,7,2,97,99,6,6,0,3,12
222,finlest01,5375000.00,1999,1,ARI,NL,156,590,100,156,32,10,34,103,8,4,63,94,7,3,2,5,4
394,karroer01,5375000.00,1999,1,LAN,NL,153,578,74,176,40,0,34,112,8,5,53,119,0,2,0,6,18
270,gracema01,5300000.00,1999,1,CHN,NL,161,593,107,183,44,5,16,91,3,4,83,44,4,2,0,10,14
415,larkiba01,5300000.00,1999,1,CIN,NL,161,583,108,171,30,4,12,75,30,8,93,57,5,2,5,4,12
98,brosisc01,5250000.00,1999,1,NYA,AL,133,473,64,117,26,1,17,71,9,3,39,74,2,6,2,9,13
254,gilkebe01,5250000.00,1999,1,ARI,NL,94,204,28,60,16,1,8,39,2,2,29,42,2,2,1,5,7
243,gantro01,5066667.00,1999,1,PHI,NL,138,516,107,134,27,5,17,77,13,3,85,112,0,1,0,3,6
210,evereca01,5000333.00,1999,1,HOU,NL,123,464,86,151,33,3,25,108,27,7,50,94,5,11,2,8,5
280,grissma02,5000000.00,1999,1,MIL,NL,154,603,92,161,27,1,20,83,24,6,49,109,4,0,4,5,12
57,bellde01,5000000.00,1999,1,HOU,NL,128,509,61,120,22,0,12,66,18,6,50,129,1,4,0,5,20
193,durhara01,4900000.00,1999,1,CHA,AL,153,612,109,181,30,8,13,60,34,11,73,105,1,4,3,2,9
431,liebemi01,4833333.00,1999,1,PHI,NL,145,510,84,153,33,1,31,96,0,0,44,86,7,11,1,8,15
472,martiti02,4800000.00,1999,1,NYA,AL,159,589,95,155,27,2,28,105,3,4,69,86,7,3,0,4,14
713,snowjt01,4750000.00,1999,1,SFN,NL,161,570,93,156,25,2,24,98,0,4,86,121,7,5,1,6,16
381,jonesch06,4750000.00,1999,1,ATL,NL,157,567,116,181,41,1,45,110,25,3,126,94,18,2,0,6,20
660,rodrihe02,4600000.00,1999,1,CHN,NL,130,447,72,136,29,0,26,87,2,4,56,113,6,0,0,1,9
373,johnsch04,4600000.00,1999,1,BAL,AL,135,426,58,107,19,1,16,54,0,0,55,107,2,4,4,3,13
138,claytro01,4500000.00,1999,1,TEX,AL,133,465,69,134,21,5,14,52,8,6,39,100,1,4,9,3,6
845,younger01,4500000.00,1999,1,LAN,NL,119,456,73,128,24,2,2,41,51,22,63,26,0,5,6,4,12
116,caminke01,4500000.00,1999,1,HOU,NL,78,273,45,78,11,1,13,56,6,2,46,58,4,3,0,7,7
227,floydcl01,4500000.00,1999,1,FLO,NL,69,251,37,76,19,1,11,49,5,6,30,47,5,2,0,2,8
197,edmonji01,4500000.00,1999,1,ANA,AL,55,204,34,51,17,2,5,23,5,4,28,45,0,0,0,1,3
109,burnije01,4462500.00,1999,1,MIL,NL,130,467,87,126,33,2,33,103,7,3,91,124,7,16,0,6,11
334,higgibo02,4425000.00,1999,1,DET,AL,107,377,51,90,18,0,12,46,4,6,64,66,2,2,0,2,2
171,daviser01,4420840.00,1999,1,SLN,NL,58,191,27,49,9,2,5,30,5,4,30,49,1,1,0,1,1
657,rodrial01,4362500.00,1999,1,SEA,AL,129,502,110,143,25,0,42,111,21,7,56,109,2,5,1,8,12
848,zeileto01,4333333.00,1999,1,TEX,AL,156,588,80,172,41,1,24,98,1,2,56,94,3,4,1,7,20
692,seguida01,4325000.00,1999,1,SEA,AL,90,345,43,101,22,3,9,39,1,2,32,43,4,1,1,3,9
624,ramirma02,4250000.00,1999,1,CLE,AL,147,522,131,174,34,3,44,165,2,4,96,131,9,13,0,9,12
13,alfoned01,4225000.00,1999,1,NYN,NL,158,628,123,191,41,1,27,108,9,2,85,85,2,3,1,9,14
179,deshide01,4209324.00,1999,1,BAL,AL,96,330,46,87,11,2,6,34,11,8,37,52,0,1,5,1,5
97,brognri01,4200000.00,1999,1,PHI,NL,157,619,90,172,29,4,24,102,8,5,54,132,7,2,0,4,19
740,surhobj01,4146789.00,1999,1,BAL,AL,162,673,104,207,38,1,28,107,5,1,43,78,1,2,1,8,15
136,clarkto02,4062500.00,1999,1,DET,AL,143,536,74,150,29,0,31,99,2,1,64,133,7,6,0,3,14
558,oleartr01,4000000.00,1999,1,BOS,AL,157,596,84,167,36,4,28,103,1,2,56,91,5,4,0,5,21
167,damonjo01,4000000.00,1999,1,KCA,AL,145,583,101,179,39,9,14,77,36,6,67,50,5,3,3,4,13
818,whitero02,4000000.00,1999,1,MON,NL,138,539,83,168,26,6,22,64,10,6,32,85,2,11,0,6,17
815,whitede03,4000000.00,1999,1,LAN,NL,134,474,60,127,20,2,14,68,19,5,39,88,2,11,0,2,10
37,ausmubr01,4000000.00,1999,1,DET,AL,127,458,62,126,25,6,9,54,12,9,51,71,0,14,3,1,11
830,wilsoda01,4000000.00,1999,1,SEA,AL,123,414,46,110,23,2,7,38,5,0,29,83,4,2,10,2,10
195,easleda01,3950000.00,1999,1,DET,AL,151,549,83,146,30,1,20,65,11,3,51,124,2,19,2,6,15
87,boonebr01,3750000.00,1999,1,ATL,NL,152,608,102,153,38,1,20,63,14,9,47,112,0,5,9,2,11
379,jonesan01,3700000.00,1999,1,ATL,NL,162,592,97,163,35,5,26,84,24,12,76,103,11,9,0,2,12
248,garcino01,3700000.00,1999,1,BOS,AL,135,532,103,190,42,4,27,104,14,3,51,39,7,8,0,4,11
679,sandere02,3700000.00,1999,1,SDN,NL,133,478,92,136,24,7,26,72,36,13,65,108,1,6,0,1,10
300,hamilda02,3633333.00,1999,1,COL,NL,91,337,63,102,11,3,4,24,4,5,38,21,0,1,2,1,7
301,hamilda02,3633333.00,1999,2,NYN,NL,55,168,19,57,8,1,5,21,2,3,19,18,0,1,1,0,2
133,cirilje01,3600000.00,1999,1,MIL,NL,157,607,98,198,35,1,15,88,7,4,75,83,4,5,3,7,15
276,greerru01,3600000.00,1999,1,TEX,AL,147,556,107,167,41,3,20,101,2,2,96,67,2,5,0,5,17
284,guerrvl01,3500000.00,1999,1,MON,NL,160,610,102,193,37,5,42,131,14,7,55,62,14,7,0,2,18
730,stevele01,3500000.00,1999,1,TEX,AL,146,517,76,146,31,1,24,81,2,3,52,132,10,0,0,7,19
725,stanlmi02,3500000.00,1999,1,BOS,AL,136,427,59,120,22,0,19,72,0,0,70,94,3,11,0,4,8
787,vizcajo01,3500000.00,1999,1,LAN,NL,94,266,27,67,9,0,1,29,2,1,20,23,0,1,9,2,9
268,goodwto01,3416667.00,1999,1,TEX,AL,109,405,63,105,12,6,3,33,39,11,40,61,0,0,7,3,7
388,joynewa01,3365099.00,1999,1,SDN,NL,110,323,34,80,14,2,5,43,0,1,58,54,6,2,0,3,8
265,gonzalu01,3333333.00,1999,1,ARI,NL,153,614,112,206,45,4,26,111,9,5,66,63,6,7,1,5,13
325,hernajo01,3333333.00,1999,1,CHN,NL,99,342,57,93,12,2,15,43,7,2,40,101,3,5,1,0,5
326,hernajo01,3333333.00,1999,2,ATL,NL,48,166,22,42,8,0,4,19,4,1,12,44,3,0,1,1,5
733,stockke01,3300000.00,1999,1,TBA,AL,79,254,39,76,11,2,1,27,9,7,24,41,0,4,4,0,4
23,anderga01,3250000.00,1999,1,ANA,AL,157,620,88,188,36,2,21,80,3,4,34,81,8,0,0,6,15
183,disarga01,3225000.00,1999,1,ANA,AL,81,271,32,62,7,1,1,29,2,2,15,32,0,2,9,1,8
303,hammoje01,3183333.00,1999,1,CIN,NL,123,262,43,73,13,0,17,41,3,6,27,64,0,1,2,1,4
366,jeffegr01,3125000.00,1999,1,DET,AL,70,205,22,41,8,0,6,18,3,4,13,11,1,4,0,3,9
250,giambja01,3103333.00,1999,1,OAK,AL,158,575,115,181,36,1,33,123,1,1,105,106,6,7,0,8,11
724,stairma01,3050000.00,1999,1,OAK,AL,146,531,94,137,26,3,38,102,2,7,89,124,6,2,0,1,8
778,velarra01,3050000.00,1999,1,ANA,AL,95,376,57,115,15,4,9,48,13,4,43,56,1,4,2,0,8
779,velarra01,3050000.00,1999,2,OAK,AL,61,255,48,85,10,3,7,28,11,4,27,42,1,2,2,0,11
262,gonzaal01,3025000.00,1999,1,TOR,AL,38,154,22,45,13,0,2,12,4,2,16,23,0,3,0,0,4
89,bordimi01,3000000.00,1999,1,BAL,AL,160,631,93,175,35,7,10,77,14,4,54,102,1,5,8,10,25
789,vizquom01,3000000.00,1999,1,CLE,AL,144,574,112,191,36,4,5,66,42,9,65,50,0,1,17,7,8
282,grudzma01,3000000.00,1999,1,LAN,NL,123,488,72,159,23,5,7,46,6,6,31,65,1,10,2,3,13
782,verasqu01,3000000.00,1999,1,SDN,NL,132,475,95,133,25,2,6,41,30,17,65,88,0,2,1,2,7
118,cansejo01,3000000.00,1999,1,TBA,AL,113,430,75,120,18,1,34,95,3,0,58,135,3,7,0,7,14
806,weisswa01,3000000.00,1999,1,ATL,NL,110,279,38,63,13,4,2,29,7,3,35,48,1,3,6,4,1
223,flahejo01,2947410.00,1999,1,TBA,AL,117,446,53,124,19,0,14,71,0,2,19,64,0,6,1,10,14
3,abreubo01,2933333.00,1999,1,PHI,NL,152,546,118,183,35,11,20,93,27,9,109,113,8,3,0,4,13
363,jahajo01,2750000.00,1999,1,OAK,AL,142,457,93,126,23,0,35,111,2,0,101,129,2,9,0,3,14
665,rolensc01,2750000.00,1999,1,PHI,NL,112,421,74,113,28,1,26,77,12,2,67,114,2,3,0,6,8
18,alomasa02,2700000.00,1999,1,CLE,AL,37,137,19,42,13,0,6,25,0,1,4,23,0,0,1,2,1
261,gomezch02,2600000.00,1999,1,SDN,NL,76,234,20,59,8,1,1,15,1,2,27,49,3,1,2,1,6
