playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR
utleych01,3B,7000000,2015,1,PHI,NL,73,249,23,54,12,1,5
wrighda03,3B,19364801,2015,1,NYN,NL,38,152,24,44,7,0,5
ackledu01,OF,3200000,2015,1,SEA,AL,85,186,22,40,8,1,6
beckhgo01,SS,1250000,2015,1,CHA,AL,100,211,24,44,8,0,6
gennesc01,2B,518100,2015,1,MIL,NL,114,375,42,99,18,4,6
hillaa01,3B,12000000,2015,1,ARI,NL,116,313,32,72,18,0,6
inciaen01,OF,523000,2015,1,ARI,NL,132,524,73,159,27,5,6
lagarju01,OF,2500000,2015,1,NYN,NL,143,441,47,114,16,5,6
lambja01,3B,520300,2015,1,ARI,NL,107,350,38,92,15,5,6
lemahdj01,2B,3000000,2015,1,COL,NL,150,564,85,170,21,5,6
peterja01,2B,520500,2015,1,ATL,NL,152,528,55,126,23,5,6
ramirjo01,SS,518200,2015,1,CLE,AL,97,315,50,69,14,3,6
reimono01,OF,1300000,2015,1,BAL,AL,61,170,24,42,5,1,6
segurje01,SS,2600000,2015,1,MIL,NL,142,560,57,144,16,5,6
vanslsc01,OF,1225000,2015,1,LAN,NL,96,222,19,53,14,0,6
zobribe01,OF,10500000,2015,1,OAK,AL,67,235,39,63,20,2,6
andruel01,SS,15333333,2015,1,TEX,AL,160,596,69,154,34,2,7
blancan01,SS,1450000,2015,1,PHI,NL,106,233,32,68,22,3,7
bogaexa01,SS,650000,2015,1,BOS,AL,156,613,84,196,35,3,7
cervefr01,C,3500000,2015,1,PIT,NL,130,451,56,133,17,5,7
chiselo01,OF,2725000,2015,1,CLE,AL,106,333,38,82,19,1,7
ellisaj01,C,4500000,2015,1,LAN,NL,63,181,24,43,9,0,7
ellsbja01,OF,21142857,2015,1,NYA,AL,111,452,66,116,15,2,7
galvifr01,SS,2000000,2015,1,PHI,NL,151,559,63,147,14,5,7
hernaen02,SS,520000,2015,1,LAN,NL,76,202,24,62,12,2,7
lucrojo01,C,4100000,2015,1,MIL,NL,103,371,51,98,20,3,7
mccanja02,C,519500,2015,1,DET,AL,114,401,32,106,18,5,7
orlanpa01,OF,514250,2015,1,KCA,AL,86,241,31,60,14,6,7
perezro02,C,515800,2015,1,CLE,AL,70,184,30,42,9,1,7
piscost01,OF,512500,2015,1,SLN,NL,63,233,29,71,15,4,7
uribeju01,3B,4000000,2015,2,ATL,NL,46,151,17,43,6,0,7
yelicch01,OF,1000000,2015,1,MIA,NL,126,476,63,143,30,2,7
davisra01,OF,5250000,2015,1,DET,AL,112,341,55,88,16,11,8
gomezca01,OF,9000000,2015,1,MIL,NL,74,286,42,75,20,1,8
guyerbr01,OF,1185000,2015,1,TBA,AL,128,332,51,88,21,2,8
hamiljo03,OF,24000000,2015,1,TEX,AL,50,170,22,43,8,0,8
hardyjj01,SS,12209424,2015,1,BAL,AL,114,411,45,90,14,0,8
herreod01,OF,528000,2015,1,PHI,NL,147,495,64,147,30,3,8
jacksau01,OF,5000000,2015,1,SEA,AL,107,419,46,114,18,3,8
myerswi01,OF,523900,2015,1,SDN,NL,60,225,40,57,13,1,8
panikjo01,2B,545000,2015,1,SFN,NL,100,382,59,119,27,2,8
raburry01,P,1500000,2015,1,CLE,AL,82,173,22,52,16,1,8
saltaja01,C,507500,2015,2,ARI,NL,70,171,23,43,14,0,8
travide01,2B,511200,2015,1,TOR,AL,62,217,38,66,18,0,8
wietema01,C,15800000,2015,1,BAL,AL,75,258,24,69,14,1,8
ahmedni01,SS,521600,2015,1,ARI,NL,134,421,49,95,17,6,9
beckhti01,SS,514500,2015,1,TBA,AL,82,203,24,45,7,4,9
confomi01,OF,517246,2015,1,NYN,NL,56,174,30,47,14,0,9
cozarza01,SS,2925000,2015,1,CIN,NL,53,194,28,50,10,1,9
escobyu01,3B,7000000,2015,1,WAS,NL,139,535,75,168,25,1,9
flahery01,SS,1500000,2015,1,BAL,AL,91,267,34,54,8,3,9
flowety01,C,2000000,2015,1,CHA,AL,112,331,21,79,12,0,9
gregodi01,SS,2425000,2015,1,NYA,AL,155,525,57,139,24,2,9
johnske05,SS,2000000,2015,1,ATL,NL,62,182,20,50,5,0,9
kendrho01,2B,9540378,2015,1,LAN,NL,117,464,64,137,22,2,9
kipnija01,2B,6166667,2015,1,CLE,AL,141,565,86,171,43,7,9
lowrije01,SS,7500000,2015,1,HOU,AL,69,230,35,51,14,0,9
marisja01,OF,519500,2015,1,HOU,AL,133,339,46,80,15,4,9
parrage01,OF,8000000,2015,1,MIL,NL,100,323,53,106,24,5,9
pencehu01,OF,18700000,2015,1,SFN,NL,52,207,30,57,13,1,9
phegljo01,C,512500,2015,1,OAK,AL,73,225,27,56,16,1,9
pierzaj01,C,3000000,2015,1,ATL,NL,113,407,38,122,24,1,9
polangr01,OF,535000,2015,1,PIT,NL,153,593,83,152,35,6,9
pradoma01,3B,11000000,2015,1,MIA,NL,129,500,52,144,22,2,9
ruppca01,C,518000,2015,1,PHI,NL,81,270,24,63,9,1,9
sotoge01,C,2800000,2015,1,CHA,AL,78,187,20,41,8,0,9
tomasya01,OF,7500000,2015,1,ARI,NL,118,406,40,111,19,3,9
bradlja02,OF,546500,2015,1,BOS,AL,74,221,43,55,17,4,10
chiriro01,C,1550000,2015,1,TEX,AL,78,233,33,54,16,1,10
dickeco01,OF,522900,2015,1,COL,NL,65,224,30,68,18,2,10
dietrde01,OF,522500,2015,1,MIA,NL,90,250,38,64,14,3,10
garciad01,OF,508750,2015,1,ATL,NL,58,191,20,53,12,0,10
hundlni01,C,3150000,2015,1,COL,NL,103,366,45,110,21,5,10
iannech01,C,4250000,2015,1,LAA,AL,92,272,28,51,10,0,10
kiermke01,OF,514400,2015,1,TBA,AL,151,505,62,133,25,12,10
mauerjo01,1B,23000000,2015,1,MIN,AL,158,592,69,157,34,2,10
maybica01,OF,8000000,2015,1,ATL,NL,141,505,65,135,18,2,10
ozunama01,OF,570000,2015,1,MIA,NL,123,459,47,119,27,0,10
paredji01,OF,520000,2015,1,BAL,AL,104,363,46,100,17,2,10
ramiral03,SS,3000000,2015,1,CHA,AL,154,583,54,145,33,0,10
realmjt01,C,532500,2015,1,MIA,NL,126,441,49,114,21,7,10
robincl01,P,534900,2015,1,WAS,NL,126,309,44,84,15,1,10
sandopa01,3B,17600000,2015,1,BOS,AL,126,470,43,115,25,1,10
solerjo01,OF,3666666,2015,1,CHN,NL,101,366,39,96,18,1,10
birdgr01,1B,525300,2015,1,NYA,AL,46,157,26,41,9,0,11
castrja01,C,5000000,2015,1,HOU,AL,104,337,38,71,19,0,11
castrst01,SS,7857142,2015,1,CHN,NL,151,547,52,145,23,2,11
congeha01,OF,1500000,2015,1,HOU,AL,73,201,25,46,11,0,11
guerral01,OF,7500000,2015,1,LAN,NL,106,219,25,51,9,1,11
headlch01,3B,13000000,2015,1,NYA,AL,156,580,74,150,29,1,11
hicksaa01,OF,574000,2015,1,MIN,AL,97,352,48,90,11,3,11
josepca01,C,523500,2015,1,BAL,AL,100,320,38,75,16,1,11
kinslia01,2B,14000000,2015,1,DET,AL,154,624,94,185,35,7,11
martivi01,1B,18000000,2015,1,DET,AL,120,440,39,108,20,0,11
millebr02,SS,527600,2015,1,SEA,AL,144,438,44,113,22,4,11
paulsbe01,OF,512500,2015,1,COL,NL,116,325,42,90,19,4,11
puigya01,OF,7214285,2015,1,LAN,NL,79,282,30,72,12,3,11
valenda01,3B,3150000,2015,2,OAK,AL,47,183,33,52,10,1,11
wongko01,2B,1250000,2015,1,SLN,NL,150,557,71,146,28,4,11
ascheco01,OF,530000,2015,1,PHI,NL,129,425,41,104,22,3,12
cabreme01,OF,14000000,2015,1,CHA,AL,158,629,70,172,36,2,12
darnatr01,C,542604,2015,1,NYN,NL,67,239,31,64,14,1,12
duffyma01,SS,510200,2015,1,SFN,NL,149,573,77,169,28,6,12
escobed01,SS,2150000,2015,1,MIN,AL,127,409,48,107,31,4,12
gomesya01,C,2583333,2015,1,CLE,AL,95,363,38,84,22,0,12
gonzama01,SS,2000000,2015,1,HOU,AL,120,344,44,96,18,1,12
lindofr01,SS,540300,2015,1,CLE,AL,99,390,50,122,22,4,12
pedrodu01,2B,12642511,2015,1,BOS,AL,93,381,46,111,19,1,12
phillbr01,SS,13083333,2015,1,CIN,NL,148,588,69,173,19,2,12
pillake01,OF,521100,2015,1,TOR,AL,159,586,76,163,31,2,12
rufda01,OF,527000,2015,1,PHI,NL,106,268,30,63,12,0,12
smithse01,OF,6750000,2015,1,SEA,AL,136,395,54,98,31,5,12
tulowtr01,SS,20000000,2015,1,COL,NL,87,323,46,97,19,0,12
werthja01,OF,21733615,2015,1,WAS,NL,88,331,51,73,16,1,12
espinda01,SS,2875000,2015,1,WAS,NL,118,367,59,88,21,1,13
francje02,P,1000000,2015,1,PHI,NL,119,326,34,84,16,1,13
garciav01,OF,2100000,2015,1,CHA,AL,148,553,66,142,17,2,13
gordoal01,OF,12000000,2015,1,KCA,AL,104,354,40,96,18,0,13
heywaja01,OF,19555288,2015,1,SLN,NL,154,547,79,160,33,4,13
napolmi01,OF,7000000,2015,1,BOS,AL,98,329,37,68,18,1,13
reynoma01,OF,2600000,2015,1,SLN,NL,140,382,35,88,21,2,13
rolliji01,SS,2000000,2015,1,LAN,NL,144,517,71,116,24,3,13
rosared01,OF,542500,2015,1,MIN,AL,122,453,60,121,18,15,13
russead02,SS,527000,2015,1,CHN,NL,142,475,60,115,29,1,13
shawtr01,OF,515000,2015,1,BOS,AL,65,226,31,61,10,0,13
suareeu01,SS,545000,2015,1,CIN,NL,97,372,42,104,19,2,13
trumbma01,OF,9150000,2015,2,SEA,AL,96,334,39,88,13,0,13
tuckepr01,OF,515000,2015,1,HOU,AL,98,300,35,73,19,0,13
