,yearID_x,teamID_x,lgID_x,playerID,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
759,2003,TBA,AL,abernbr01,300000,2002,1,TBA,AL,117,463,46,112,18,4,2,40,10,4,25,46,0,6,8,2,8
584,2003,PHI,NL,abreubo01,9100000,2002,1,PHI,NL,157,572,102,176,50,6,20,85,31,12,104,117,9,3,0,6,11
702,2003,SFN,NL,alfoned01,4000000,2002,1,NYN,NL,135,490,78,151,26,0,16,56,6,0,62,55,8,7,0,3,5
526,2003,NYN,NL,alomaro01,8000000,2002,1,NYN,NL,149,590,73,157,24,4,11,53,16,4,57,83,4,1,6,1,12
134,2003,CHA,AL,alomasa02,700000,2002,1,CHA,AL,51,167,21,48,10,1,7,25,0,0,5,14,0,1,1,2,5
165,2003,CHN,NL,aloumo01,9500000,2002,1,CHN,NL,132,484,50,133,23,1,15,61,8,0,47,61,4,0,0,3,15
0,2003,ANA,AL,anderga01,5350000,2002,1,ANA,AL,158,638,93,195,56,3,29,123,6,4,30,80,11,0,0,10,11
760,2003,TBA,AL,anderma02,600000,2002,1,PHI,NL,145,539,64,139,30,6,8,48,5,1,42,71,14,5,2,4,16
703,2003,SFN,NL,aurilri01,6250000,2002,1,SFN,NL,133,538,76,138,35,2,15,61,1,2,37,90,0,4,3,7,15
340,2003,HOU,NL,ausmubr01,5500000,2002,1,HOU,NL,130,447,57,115,19,3,6,50,2,3,38,71,3,6,2,3,30
27,2003,ARI,NL,baergca01,500000,2002,1,BOS,AL,73,182,17,52,11,0,2,19,6,0,7,20,1,2,1,2,6
341,2003,HOU,NL,bagweje01,13000000,2002,1,HOU,NL,158,571,94,166,33,2,31,98,7,3,101,130,8,10,0,9,16
166,2003,CHN,NL,bakopa01,750000,2002,1,MIL,NL,87,234,24,55,8,1,4,20,0,2,20,46,3,0,3,0,4
28,2003,ARI,NL,barajro01,300000,2002,1,ARI,NL,70,154,12,36,10,0,3,23,1,0,10,25,4,3,2,3,4
475,2003,MON,NL,barremi01,2600000,2002,1,MON,NL,117,376,41,99,20,1,12,49,6,3,40,65,7,1,6,5,14
76,2003,BAL,AL,batisto01,6400000,2002,1,BAL,AL,161,615,90,150,36,1,31,87,5,4,50,107,9,11,0,6,13
30,2003,ARI,NL,bautida01,3000000,2002,1,ARI,NL,40,154,22,50,5,2,6,23,4,2,11,21,2,0,0,1,4
586,2003,PHI,NL,bellda01,3200000,2002,1,SFN,NL,154,552,82,144,29,2,20,73,1,2,54,80,2,9,6,7,18
167,2003,CHN,NL,bellhma01,465000,2002,1,CHN,NL,146,445,86,115,24,4,27,56,7,5,76,144,3,6,2,0,6
253,2003,COL,NL,belliro01,475000,2002,1,MIL,NL,104,289,30,61,13,0,3,26,2,3,18,46,0,1,6,3,9
