playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
altuvjo01,2015,1,HOU,AL,154,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17
machama01,2015,1,BAL,AL,162,633,102,181,30,1,35,86,20,8,70,111,2,4,2,4,17
calhoko01,2015,1,LAA,AL,159,630,78,161,23,2,26,83,4,1,45,164,1,5,2,4,6
cabreme01,2015,1,CHA,AL,158,629,70,172,36,2,12,77,3,0,40,88,2,2,2,10,18
doziebr01,2015,1,MIN,AL,157,628,101,148,39,4,28,77,12,4,61,148,2,7,0,8,10
canoro01,2015,1,SEA,AL,156,624,82,179,34,1,21,79,2,6,43,107,5,3,0,4,26
kinslia01,2015,1,DET,AL,154,624,94,185,35,7,11,73,10,6,43,80,0,3,0,5,13
seageky01,2015,1,SEA,AL,161,623,85,166,37,0,26,74,6,6,54,98,6,5,0,4,17
donaljo02,2015,1,TOR,AL,158,620,122,184,41,2,41,123,6,0,73,133,0,6,2,10,16
frazito01,2015,1,CIN,NL,157,619,82,158,43,1,35,89,13,8,44,137,3,7,1,7,19
arenano01,2015,1,COL,NL,157,616,97,177,43,4,42,130,2,5,34,110,13,4,0,11,17
gordode01,2015,1,MIA,NL,145,615,88,205,24,8,4,46,58,20,25,91,2,2,6,5,6
blackch02,2015,1,COL,NL,157,614,93,176,31,9,17,58,43,13,46,112,2,13,5,4,4
abreujo02,2015,1,CHA,AL,154,613,88,178,34,3,30,101,0,0,39,140,11,15,0,1,16
bogaexa01,2015,1,BOS,AL,156,613,84,196,35,3,7,81,10,2,32,101,1,3,3,3,16
fieldpr01,2015,1,TEX,AL,158,613,78,187,28,0,23,98,0,0,64,88,14,11,0,5,21
escobal02,2015,1,KCA,AL,148,612,76,157,20,5,3,47,17,5,26,75,1,8,11,5,10
markani01,2015,1,ATL,NL,156,612,73,181,38,1,3,53,2,1,70,83,11,3,0,1,17
eatonad02,2015,1,CHA,AL,153,610,98,175,28,9,14,56,18,8,58,131,2,14,5,2,5
polloaj01,2015,1,ARI,NL,157,609,111,192,39,6,20,76,39,7,53,89,0,2,0,9,19
longoev01,2015,1,TBA,AL,160,604,74,163,35,1,21,73,3,1,51,132,8,6,0,9,11
pujolal01,2015,1,LAA,AL,157,602,85,147,22,0,40,95,5,3,50,72,10,6,0,3,15
hosmeer01,2015,1,KCA,AL,158,599,98,178,33,5,18,93,7,3,61,108,6,3,1,3,16
aybarer01,2015,1,LAA,AL,156,597,74,161,30,1,3,44,15,6,25,73,1,4,7,5,12
bettsmo01,2015,1,BOS,AL,145,597,92,174,42,8,18,77,21,6,46,82,1,2,3,6,2
andruel01,2015,1,TEX,AL,160,596,69,154,34,2,7,62,25,9,46,78,1,2,8,9,14
fowlede01,2015,1,CHN,NL,156,596,102,149,29,8,17,46,20,7,84,154,1,5,2,3,4
kempma01,2015,1,SDN,NL,154,596,80,158,31,3,23,100,12,2,39,147,0,5,0,8,17
martijd02,2015,1,DET,AL,158,596,93,168,33,2,38,102,3,2,53,178,7,5,0,3,11
polangr01,2015,1,PIT,NL,153,593,83,152,35,6,9,52,27,10,55,121,6,1,1,2,5
mauerjo01,2015,1,MIN,AL,158,592,69,157,34,2,10,66,2,1,67,112,12,1,1,5,22
cruzne02,2015,1,SEA,AL,152,590,90,178,22,1,44,93,3,2,59,164,9,5,0,1,6
phillbr01,2015,1,CIN,NL,148,588,69,173,19,2,12,70,23,3,27,68,1,4,1,3,13
pillake01,2015,1,TOR,AL,159,586,76,163,31,2,12,56,25,4,28,85,1,5,4,5,9
rizzoan01,2015,1,CHN,NL,160,586,94,163,38,3,31,101,17,6,78,105,9,30,0,7,9
