,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
840,2001,TEX,AL,catalfr01,OF,850000,2000,1,TEX,AL,103,282,55,82,13,2,10,42,6,2,33,36,0,6,3,2,5
102,2001,BAL,AL,deshide01,OF,4333667,2000,1,BAL,AL,151,561,84,166,43,5,10,86,37,10,69,82,2,1,3,9,16
609,2001,OAK,AL,giambje01,OF,282500,2000,1,OAK,AL,104,260,42,66,10,2,10,50,0,0,32,61,2,3,3,4,7
815,2001,TBA,AL,guilljo01,OF,975000,2000,1,TBA,AL,105,316,40,80,16,5,10,41,3,1,18,65,1,13,2,0,6
772,2001,SFN,NL,riosar01,OF,310000,2000,1,SFN,NL,115,233,38,62,15,5,10,50,3,2,31,43,4,0,1,4,9
531,2001,MON,NL,seguife01,OF,231500,2000,1,MON,NL,76,162,22,45,8,0,10,22,0,1,9,46,0,3,0,1,5
810,2001,TBA,AL,coxst01,OF,255000,2000,1,TBA,AL,116,318,44,90,19,1,11,35,1,2,45,47,2,5,0,1,9
8,2001,ANA,AL,hillgl01,OF,1500000,2000,1,CHN,NL,64,168,23,44,4,1,11,29,0,1,10,43,2,0,0,0,5
734,2001,SEA,AL,martial03,OF,5000000,2000,1,SDN,NL,93,346,62,106,13,6,11,27,6,8,28,54,5,2,0,2,2
54,2001,ARI,NL,sandere02,OF,1500000,2000,1,ATL,NL,103,340,43,79,23,1,11,37,21,4,32,78,2,2,3,0,9
130,2001,BAL,AL,seguida01,OF,7000000,2000,1,TEX,AL,93,351,52,118,29,1,11,57,0,1,34,51,1,0,0,4,12
188,2001,CHA,AL,singlch01,OF,315000,2000,1,CHA,AL,147,511,83,130,22,5,11,62,22,7,35,85,2,1,12,4,6
217,2001,CHN,NL,whitero02,OF,4000000,2000,1,MON,NL,75,290,52,89,24,0,11,54,5,1,28,67,0,2,0,2,4
752,2001,SFN,NL,benarma01,OF,2700000,2000,1,SFN,NL,149,560,102,147,27,6,12,55,22,7,63,97,0,6,2,2,4
