playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
suzukic01,2001,1,SEA,AL,157,692,127,242,34,8,8,69,56,14,30,53,10,8,4,4,3
anderga01,2001,1,ANA,AL,161,672,83,194,39,2,28,123,13,6,27,100,4,0,0,5,12
rolliji01,2001,1,PHI,NL,158,656,97,180,29,12,14,54,46,8,48,108,2,2,9,5,5
damonjo01,2001,1,OAK,AL,155,644,108,165,34,4,9,49,27,12,61,70,1,5,5,4,7
stewash01,2001,1,TOR,AL,155,640,103,202,44,7,12,60,27,10,46,72,1,11,0,1,9
aurilri01,2001,1,SFN,NL,156,636,114,206,37,5,37,97,1,3,47,83,2,0,3,3,14
gonzaal01,2001,1,TOR,AL,154,636,79,161,25,5,17,76,18,11,43,149,0,7,7,10,16
glanvdo01,2001,1,PHI,NL,153,634,74,166,24,3,14,55,28,6,19,91,1,4,10,7,7
rodrial01,2001,1,TEX,AL,162,632,133,201,34,1,52,135,18,3,75,131,6,16,0,9,17
erstada01,2001,1,ANA,AL,157,631,89,163,35,1,9,63,24,10,62,113,7,10,1,7,8
vinafe01,2001,1,SLN,NL,154,631,95,191,30,8,9,56,17,7,32,35,3,22,3,2,7
longte01,2001,1,OAK,AL,162,629,90,178,37,4,12,85,9,3,52,103,8,0,0,6,17
cabreor01,2001,1,MON,NL,162,626,64,173,41,6,14,96,19,7,43,54,5,4,4,7,15
jonesan01,2001,1,ATL,NL,161,625,104,157,25,2,34,104,11,4,56,142,3,3,0,9,10
boonebr01,2001,1,SEA,AL,158,623,118,206,37,3,37,141,5,5,40,110,5,9,5,13,11
tejadmi01,2001,1,OAK,AL,162,622,107,166,31,3,31,113,11,5,43,89,5,13,1,4,14
greensh01,2001,1,LAN,NL,161,619,121,184,31,4,49,125,20,4,72,107,10,5,0,5,10
beltrca01,2001,1,KCA,AL,155,617,106,189,32,12,24,101,31,1,52,120,2,5,1,5,7
