,yearID_x,teamID_x,lgID_x,playerID,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
0,2016,ARI,NL,ahmedni01,521600,2015,1,ARI,NL,134,421,49,95,17,6,9,34,4,5,29,81,1,1,5,3,4
1,2016,ARI,NL,castiwe01,3700000,2015,3,ARI,NL,80,274,34,70,13,1,17,50,0,0,21,75,0,5,0,3,10
2,2016,ARI,NL,goldspa01,5833333,2015,1,ARI,NL,159,567,103,182,38,2,33,110,21,5,118,151,29,2,0,7,16
3,2016,ARI,NL,lambja01,520300,2015,1,ARI,NL,107,350,38,92,15,5,6,34,3,2,36,97,3,1,0,3,5
4,2016,ARI,NL,owingch01,530500,2015,1,ARI,NL,147,515,59,117,27,5,4,43,16,4,26,144,3,1,7,3,9
5,2016,ARI,NL,peralda01,529600,2015,1,ARI,NL,149,462,61,144,26,10,17,78,9,4,44,107,2,4,0,7,7
6,2016,ARI,NL,polloaj01,3500000,2015,1,ARI,NL,157,609,111,192,39,6,20,76,39,7,53,89,0,2,0,9,19
7,2016,ARI,NL,segurje01,2600000,2015,1,MIL,NL,142,560,57,144,16,5,6,50,25,6,13,93,2,6,3,2,14
8,2016,ARI,NL,tomasya01,7500000,2015,1,ARI,NL,118,406,40,111,19,3,9,48,5,2,17,110,0,2,0,1,16
9,2016,ATL,NL,aybarer01,8500000,2015,1,LAA,AL,156,597,74,161,30,1,3,44,15,6,25,73,1,4,7,5,12
10,2016,ATL,NL,beckhgo01,1250000,2015,1,CHA,AL,100,211,24,44,8,0,6,20,0,1,19,43,1,2,1,4,6
11,2016,ATL,NL,flowety01,2000000,2015,1,CHA,AL,112,331,21,79,12,0,9,39,0,1,21,104,0,6,2,1,8
12,2016,ATL,NL,francje02,1000000,2015,1,PHI,NL,119,326,34,84,16,1,13,45,0,2,13,77,0,1,0,3,10
13,2016,ATL,NL,freemfr01,12359375,2015,1,ATL,NL,118,416,62,115,27,0,18,66,3,1,56,98,4,7,0,2,6
14,2016,ATL,NL,garciad01,508750,2015,1,ATL,NL,58,191,20,53,12,0,10,26,0,0,5,35,0,0,0,2,9
15,2016,ATL,NL,inciaen01,523000,2015,1,ARI,NL,132,524,73,159,27,5,6,45,21,10,26,58,0,4,2,5,8
16,2016,ATL,NL,johnske05,2000000,2015,1,ATL,NL,62,182,20,50,5,0,9,34,1,1,13,43,1,0,0,1,4
17,2016,ATL,NL,markani01,11000000,2015,1,ATL,NL,156,612,73,181,38,1,3,53,2,1,70,83,11,3,0,1,17
18,2016,ATL,NL,peterja01,520500,2015,1,ATL,NL,152,528,55,126,23,5,6,52,12,10,56,120,4,3,7,3,5
19,2016,ATL,NL,pierzaj01,3000000,2015,1,ATL,NL,113,407,38,122,24,1,9,49,0,2,19,37,2,7,0,3,19
20,2016,BAL,AL,alvarpe01,5731704,2015,1,PIT,NL,150,437,60,106,18,0,27,77,2,0,48,131,9,2,0,4,6
21,2016,BAL,AL,davisch02,21268890,2015,1,BAL,AL,160,573,100,150,31,0,47,117,2,3,84,208,6,8,0,5,6
22,2016,BAL,AL,flahery01,1500000,2015,1,BAL,AL,91,267,34,54,8,3,9,31,0,0,26,81,2,4,2,2,8
23,2016,BAL,AL,hardyjj01,12209424,2015,1,BAL,AL,114,411,45,90,14,0,8,37,0,0,20,88,0,0,2,4,11
24,2016,BAL,AL,jonesad01,16329674,2015,1,BAL,AL,137,546,74,147,25,3,27,82,3,1,24,102,3,8,0,3,21
25,2016,BAL,AL,josepca01,523500,2015,1,BAL,AL,100,320,38,75,16,1,11,49,0,0,27,72,2,3,3,1,7
26,2016,BAL,AL,machama01,5000000,2015,1,BAL,AL,162,633,102,181,30,1,35,86,20,8,70,111,2,4,2,4,17
27,2016,BAL,AL,paredji01,520000,2015,1,BAL,AL,104,363,46,100,17,2,10,42,4,4,19,111,0,0,0,2,8
28,2016,BAL,AL,reimono01,1300000,2015,1,BAL,AL,61,170,24,42,5,1,6,20,0,0,23,47,2,2,0,0,2
29,2016,BAL,AL,schoojo01,522500,2015,1,BAL,AL,86,305,34,85,17,0,15,39,2,0,9,79,0,4,1,2,9
30,2016,BAL,AL,trumbma01,9150000,2015,2,SEA,AL,96,334,39,88,13,0,13,41,0,0,26,93,1,0,0,1,8
31,2016,BAL,AL,trumbma01,9150000,2015,1,ARI,NL,46,174,23,45,10,3,9,23,0,0,10,39,0,0,0,0,4
32,2016,BAL,AL,wietema01,15800000,2015,1,BAL,AL,75,258,24,69,14,1,8,25,0,0,21,67,0,0,0,3,4
