playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
bautijo02,2014,1,TOR,AL,155,553,101,158,27,0,35,103,6,2,104,96,11,9,1,6,18
pedrodu01,2014,1,BOS,AL,135,551,72,153,33,0,7,53,6,6,51,75,1,1,0,6,14
beltrad01,2014,1,TEX,AL,148,549,79,178,33,1,19,77,1,1,57,74,13,3,0,5,15
butlebi03,2014,1,KCA,AL,151,549,57,149,32,0,9,66,0,0,41,96,3,5,0,8,21
hunteto01,2014,1,DET,AL,142,549,71,157,33,2,17,83,4,3,23,89,0,7,0,7,18
mccutan01,2014,1,PIT,NL,146,548,89,172,38,6,25,83,18,3,84,115,8,10,0,6,9
poseybu01,2014,1,SFN,NL,147,547,72,170,28,2,22,89,0,1,47,69,5,3,0,8,16
kempma01,2014,1,LAN,NL,150,541,77,155,38,3,25,89,8,5,52,145,3,0,0,6,21
santaca01,2014,1,CLE,AL,152,541,68,125,25,0,27,85,5,2,113,124,5,3,0,3,13
simmoan01,2014,1,ATL,NL,146,540,44,132,18,4,7,46,4,5,32,60,4,0,2,2,25
stantmi03,2014,1,MIA,NL,145,539,89,155,31,1,37,105,13,1,94,170,24,3,0,2,16
bogaexa01,2014,1,BOS,AL,144,538,60,129,28,1,12,46,2,3,39,138,1,8,2,7,11
rolliji01,2014,1,PHI,NL,138,538,78,131,22,4,17,55,28,6,64,100,2,1,3,3,6
hechaad01,2014,1,MIA,NL,146,536,53,148,20,10,1,34,7,5,26,86,5,1,4,6,21
wrighda03,2014,1,NYN,NL,134,535,54,144,30,1,8,63,8,5,42,113,5,4,0,5,22
werthja01,2014,1,WAS,NL,147,534,85,156,37,1,16,82,9,1,83,113,3,9,0,3,9
casteni01,2014,1,DET,AL,148,533,50,138,31,4,11,66,2,2,36,140,3,3,0,7,7
martile01,2014,1,TEX,AL,155,533,68,146,13,7,7,40,31,12,39,114,3,2,7,2,4
braunry02,2014,1,MIL,NL,135,530,68,141,30,6,19,81,11,5,41,113,3,6,0,3,17
hardyjj01,2014,1,BAL,AL,141,529,56,142,28,0,9,52,0,0,29,104,1,4,3,4,12
castrst01,2014,1,CHN,NL,134,528,58,154,33,1,14,65,4,4,35,100,4,4,0,2,18
infanom01,2014,1,KCA,AL,135,528,50,133,21,3,6,66,9,3,33,68,3,2,5,7,7
adamsma01,2014,1,SLN,NL,142,527,55,152,34,5,15,68,3,2,26,114,5,3,0,7,9
rizzoan01,2014,1,CHN,NL,140,524,89,150,28,1,32,78,5,4,73,116,7,15,0,4,8
vicieda01,2014,1,CHA,AL,145,523,65,121,22,3,21,58,0,1,32,122,3,5,0,3,19
harrijo05,2014,1,PIT,NL,143,520,77,164,38,7,13,52,18,7,22,81,1,4,2,2,6
plouftr01,2014,1,MIN,AL,136,520,69,134,40,2,14,80,2,1,53,109,2,4,0,5,12
uptonbj01,2014,1,ATL,NL,141,519,67,108,19,5,12,35,20,7,57,173,5,1,3,2,6
ortizda01,2014,1,BOS,AL,142,518,59,136,27,0,35,104,0,0,75,95,22,3,0,6,18
dudalu01,2014,1,NYN,NL,153,514,74,130,27,0,30,92,3,2,69,135,8,9,0,4,9
segurje01,2014,1,MIL,NL,146,513,61,126,14,6,5,31,20,9,28,70,5,4,10,2,13
walkene01,2014,1,PIT,NL,137,512,74,139,25,3,23,76,2,2,45,88,2,11,1,2,12
cartech02,2014,1,HOU,AL,145,507,68,115,21,1,37,88,5,2,56,182,6,5,0,4,12
cozarza01,2014,1,CIN,NL,147,506,48,112,18,5,4,38,7,0,25,79,3,7,5,0,13
mercejo03,2014,1,PIT,NL,149,506,56,129,27,2,12,55,4,1,35,89,12,4,5,5,14
hosmeer01,2014,1,KCA,AL,131,503,54,136,35,1,9,58,4,2,35,93,4,3,0,6,12
ackledu01,2014,1,SEA,AL,143,502,64,123,27,4,14,65,8,4,32,90,1,3,3,2,10
lowrije01,2014,1,OAK,AL,136,502,59,125,29,3,6,50,0,0,51,79,5,5,2,6,14
morneju01,2014,1,COL,NL,135,502,62,160,32,3,17,82,0,3,34,60,4,6,0,8,7
daviskh01,2014,1,MIL,NL,144,501,70,122,37,2,22,69,4,1,32,122,0,10,0,6,13
hillaa01,2014,1,ARI,NL,133,501,52,122,26,3,10,60,4,3,28,92,0,5,0,7,16
kipnija01,2014,1,CLE,AL,129,500,61,120,25,1,6,41,22,3,50,100,2,2,1,2,15
mossbr01,2014,1,OAK,AL,147,500,70,117,23,2,25,81,1,0,67,153,7,10,0,3,6
jonesga02,2014,1,MIA,NL,146,496,59,122,33,2,15,53,0,1,46,116,4,1,0,4,10
martest01,2014,1,PIT,NL,135,495,73,144,29,6,13,56,30,11,33,131,0,17,0,0,5
mccanbr01,2014,1,NYA,AL,140,495,57,115,15,1,23,75,0,0,32,77,1,7,0,4,16
larocad01,2014,1,WAS,NL,140,494,73,128,19,0,26,92,3,0,82,108,9,2,0,8,13
lemahdj01,2014,1,COL,NL,149,494,59,132,15,5,5,42,10,10,33,97,7,2,7,2,13
ramirar01,2014,1,MIL,NL,133,494,47,141,23,1,15,66,3,0,21,75,2,13,0,3,18
bruceja01,2014,1,CIN,NL,137,493,71,107,21,1,18,66,12,3,44,149,5,2,1,5,8
calhoko01,2014,1,LAA,AL,127,493,90,134,31,3,17,58,5,3,38,104,0,2,2,2,5
riosal01,2014,1,TEX,AL,131,492,54,138,30,8,4,54,17,9,23,93,3,1,0,5,19
aokino01,2014,1,KCA,AL,132,491,63,140,22,6,1,43,17,8,43,49,0,6,8,1,5
