,yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
818,2003,TOR,AL,hinsker01,3B,600000,2002,1,TOR,AL,151,566,99,158,38,2,24,84,13,1,77,138,5,2,0,5,12
323,2003,FLO,NL,lowelmi01,3B,3700000,2002,1,FLO,NL,160,597,88,165,44,0,24,92,4,3,65,92,5,4,0,11,16
519,2003,NYA,AL,venturo01,3B,5000000,2002,1,NYA,AL,141,465,68,115,17,0,27,93,3,1,90,101,9,2,0,5,14
76,2003,BAL,AL,batisto01,3B,6400000,2002,1,BAL,AL,161,615,90,150,36,1,31,87,5,4,50,107,9,11,0,6,13
404,2003,LAN,NL,izturce01,SS,335000,2002,1,LAN,NL,135,439,43,102,24,2,1,31,7,7,14,39,1,0,10,5,12
116,2003,BOS,AL,jacksda04,SS,625000,2002,1,DET,AL,81,245,31,63,20,1,1,25,12,3,21,36,0,3,2,3,3
237,2003,CLE,AL,mcdonjo03,SS,314400,2002,1,CLE,AL,93,264,35,66,11,3,1,12,3,0,10,50,0,5,7,2,4
770,2003,TBA,AL,ordonre01,SS,6500000,2002,1,NYN,NL,144,460,53,117,25,2,1,42,2,2,24,46,11,2,9,4,19
546,2003,NYN,NL,sanchre01,SS,1300000,2002,1,BOS,AL,107,357,46,102,12,3,1,38,2,2,17,31,1,2,5,5,9
729,2003,SLN,NL,cairomi01,SS,850000,2002,1,SLN,NL,108,184,28,46,9,2,2,23,1,1,13,36,2,3,6,2,5
31,2003,ARI,NL,counscr01,SS,2516667,2002,1,ARI,NL,112,436,63,123,22,1,2,51,7,5,45,52,3,1,4,3,10
712,2003,SFN,NL,felizpe01,SS,325000,2002,1,SFN,NL,67,146,14,37,4,1,2,13,0,0,6,27,1,0,0,1,2
318,2003,FLO,NL,gonzaal02,SS,1700000,2002,1,FLO,NL,42,151,15,34,7,1,2,18,3,1,12,32,1,4,3,2,2
455,2003,MIN,AL,hockide01,SS,1000000,2002,1,MIN,AL,102,260,28,65,13,0,2,25,0,2,24,44,0,1,4,5,3
659,2003,SDN,NL,loretma01,SS,1250000,2002,1,MIL,NL,86,217,23,58,14,0,2,19,0,0,23,32,1,5,6,1,6
625,2003,PIT,NL,nunezab01,SS,675000,2002,1,PIT,NL,112,253,28,59,14,1,2,15,3,4,27,44,1,2,3,1,2
668,2003,SDN,NL,vazqura01,SS,315000,2002,1,SDN,NL,128,423,50,116,21,5,2,32,7,2,45,79,3,1,3,2,6
7,2003,ANA,AL,gilbe01,SS,725000,2002,1,ANA,AL,61,130,11,37,8,1,3,20,2,1,5,33,0,0,2,2,0
146,2003,CHA,AL,jimenda01,SS,345000,2002,1,SDN,NL,87,321,39,77,11,4,3,33,4,2,34,63,1,0,0,2,10
541,2003,NYN,NL,mcewijo01,SS,600000,2002,1,NYN,NL,105,196,22,39,8,1,3,26,4,4,9,50,0,3,3,3,0
576,2003,OAK,AL,menecfr01,SS,334500,2002,1,OAK,AL,38,132,22,27,7,0,3,15,0,0,20,32,0,1,0,1,4
719,2003,SFN,NL,perezne01,SS,1500000,2002,1,KCA,AL,145,554,65,131,20,4,3,37,8,9,20,53,2,0,5,6,11
808,2003,TOR,AL,bergda01,SS,700000,2002,1,TOR,AL,109,374,42,101,26,2,4,39,0,2,26,57,1,5,4,5,6
377,2003,KCA,AL,febleca01,SS,775000,2002,1,KCA,AL,119,351,44,86,16,4,4,26,16,5,41,63,0,7,5,0,8
317,2003,FLO,NL,foxan01,SS,800000,2002,1,FLO,NL,133,435,55,109,14,5,4,41,31,7,49,94,6,10,5,3,9
182,2003,CHN,NL,martira03,SS,800000,2002,1,SFN,NL,72,181,26,49,10,2,4,25,2,0,14,26,2,4,0,1,1
663,2003,SDN,NL,merlolo01,SS,560000,2002,1,BOS,AL,84,194,28,48,12,2,4,18,1,2,20,35,0,5,2,1,4
304,2003,DET,AL,santira01,SS,307000,2002,1,DET,AL,65,222,33,54,5,5,4,20,8,5,13,48,0,8,4,2,2
641,2003,PIT,NL,wilsoja02,SS,335000,2002,1,PIT,NL,147,527,77,133,22,4,4,47,5,2,37,74,2,4,17,1,7
397,2003,LAN,NL,coraal01,SS,1150000,2002,1,LAN,NL,115,258,37,75,14,4,5,28,7,2,26,38,4,7,2,0,3
56,2003,ATL,NL,derosma01,SS,340000,2002,1,ATL,NL,72,212,24,63,9,2,5,23,2,3,12,24,3,3,2,3,5
602,2003,PHI,NL,perezto03,SS,550000,2002,1,PHI,NL,92,212,22,53,13,1,5,20,1,0,21,40,6,1,2,1,5
366,2003,HOU,NL,vizcajo01,SS,2000000,2002,1,HOU,NL,125,406,53,123,19,2,5,37,3,5,24,40,2,1,5,2,5
49,2003,ARI,NL,womacto01,SS,6000000,2002,1,ARI,NL,153,590,90,160,23,5,5,57,29,12,46,80,2,4,6,6,9
563,2003,OAK,AL,ellisma01,SS,307500,2002,1,OAK,AL,98,345,58,94,16,4,6,35,4,2,44,54,1,4,8,3,3
145,2003,CHA,AL,graffto01,SS,675000,2002,1,CHA,AL,70,229,35,60,12,4,6,31,2,1,22,38,1,2,4,2,2
388,2003,KCA,AL,relafde01,SS,900000,2002,1,SEA,AL,112,329,55,88,13,2,6,43,10,3,33,51,2,6,1,7,6
774,2003,TBA,AL,shumpte01,SS,300000,2002,1,COL,NL,106,234,30,55,12,1,6,21,4,1,21,41,0,4,5,4,9
281,2003,COL,NL,uribeju01,SS,300000,2002,1,COL,NL,155,566,69,136,25,7,6,49,9,2,34,120,1,5,7,6,17
477,2003,MON,NL,cabreor01,SS,3300000,2002,1,MON,NL,153,563,64,148,43,1,7,56,25,7,48,53,4,2,9,4,16
421,2003,MIL,NL,claytro01,SS,1500000,2002,1,CHA,AL,112,342,51,86,14,2,7,35,5,1,20,67,0,3,7,4,7
81,2003,BAL,AL,cruzde01,SS,1000000,2002,1,SDN,NL,151,514,49,135,28,2,7,47,2,3,22,58,2,3,3,5,20
206,2003,CIN,NL,larkiba01,SS,9000000,2002,1,CIN,NL,145,507,72,124,37,2,7,47,13,4,44,57,9,3,6,7,13
489,2003,MON,NL,maciajo01,SS,825000,2002,2,MON,NL,90,231,33,59,17,1,7,33,5,6,13,44,0,1,4,3,2
690,2003,SEA,AL,mclemma01,SS,3150000,2002,1,SEA,AL,104,337,54,91,17,2,7,41,18,10,61,63,1,1,4,4,3
809,2003,TOR,AL,bordimi01,SS,1000000,2002,1,BAL,AL,117,367,37,85,19,3,8,36,7,4,35,63,0,3,6,2,9
4,2003,ANA,AL,eckstda01,SS,425000,2002,1,ANA,AL,152,608,107,178,22,6,8,63,21,13,45,44,0,27,14,8,7
60,2003,ATL,NL,furcara01,SS,2200000,2002,1,ATL,NL,154,636,95,175,31,8,8,47,27,15,43,114,0,3,9,2,8
209,2003,CIN,NL,lopezfe01,SS,334000,2002,1,TOR,AL,85,282,35,64,15,3,8,34,5,4,23,90,1,1,2,1,4
356,2003,HOU,NL,lugoju01,SS,1575000,2002,1,HOU,NL,88,322,45,84,15,1,8,35,9,3,28,74,3,2,4,2,6
254,2003,COL,NL,butlebr02,SS,303000,2002,1,COL,NL,113,344,55,89,18,4,9,42,2,6,10,40,3,5,4,4,6
684,2003,SEA,AL,guillca01,SS,2500000,2002,1,SEA,AL,134,475,73,124,24,6,9,56,4,5,46,91,4,1,3,3,8
453,2003,MIN,AL,guzmacr01,SS,2525000,2002,1,MIN,AL,148,623,80,170,31,6,9,59,12,13,17,79,2,2,8,6,12
807,2003,TEX,AL,youngmi02,SS,415000,2002,1,TEX,AL,156,573,77,150,26,8,9,62,6,7,41,112,1,0,13,6,14
344,2003,HOU,NL,blumge01,SS,1500000,2002,1,HOU,NL,130,368,45,104,20,4,10,52,2,0,49,70,5,1,1,2,8
451,2003,MIN,AL,gomezch02,SS,500000,2002,1,TBA,AL,130,461,51,122,31,3,10,46,1,3,21,58,0,7,6,3,8
290,2003,DET,AL,haltesh01,SS,2150000,2002,1,DET,AL,122,410,46,98,22,6,10,39,0,4,39,92,1,4,1,4,12
747,2003,SLN,NL,renteed01,SS,6500000,2002,1,SLN,NL,152,544,77,166,36,2,11,83,22,7,49,57,7,4,7,5,17
610,2003,PHI,NL,rolliji01,SS,450000,2002,1,PHI,NL,154,637,82,156,33,10,11,60,31,13,54,103,3,4,6,4,14
834,2003,TOR,AL,woodwch01,SS,775000,2002,1,TOR,AL,90,312,48,86,13,4,13,45,3,0,26,72,0,3,1,8,8
249,2003,CLE,AL,vizquom01,SS,5500000,2002,1,CLE,AL,151,582,85,160,31,5,14,72,18,10,56,64,3,8,7,10,7
703,2003,SFN,NL,aurilri01,SS,6250000,2002,1,SFN,NL,133,538,76,138,35,2,15,61,1,2,37,90,0,4,3,7,15
176,2003,CHN,NL,gonzaal01,SS,5750000,2002,1,CHN,NL,142,513,58,127,27,5,18,61,5,3,46,136,7,3,4,2,11
506,2003,NYA,AL,jeterde01,SS,15600000,2002,1,NYA,AL,157,644,124,191,26,0,18,75,32,3,73,114,2,7,3,3,14
98,2003,BAL,AL,morame01,SS,1725000,2002,1,BAL,AL,149,557,86,130,30,4,19,64,16,10,70,108,2,20,1,4,7
586,2003,PHI,NL,bellda01,SS,3200000,2002,1,SFN,NL,154,552,82,144,29,2,20,73,1,2,54,80,2,9,6,7,18
110,2003,BOS,AL,garcino01,SS,11000000,2002,1,BOS,AL,156,635,101,197,56,5,24,120,5,2,41,63,4,6,0,11,17
261,2003,COL,NL,hernajo01,SS,1000000,2002,1,MIL,NL,152,525,72,151,24,2,24,73,3,5,52,188,5,4,0,1,19
159,2003,CHA,AL,valenjo03,SS,5000000,2002,1,CHA,AL,135,474,70,118,26,4,25,75,3,3,43,99,2,2,3,5,9
193,2003,CIN,NL,booneaa01,SS,3700000,2002,1,CIN,NL,162,606,83,146,38,2,26,87,32,8,56,111,4,10,9,4,9
167,2003,CHN,NL,bellhma01,SS,465000,2002,1,CHN,NL,146,445,86,115,24,4,27,56,7,5,76,144,3,6,2,0,6
8,2003,ANA,AL,glaustr01,SS,7250000,2002,1,ANA,AL,156,569,99,142,24,1,30,111,10,3,88,144,4,6,0,8,12
746,2003,SLN,NL,pujolal01,SS,900000,2002,1,SLN,NL,157,590,118,185,40,2,34,127,2,4,72,69,13,9,0,4,20
582,2003,OAK,AL,tejadmi01,SS,5125000,2002,1,OAK,AL,162,662,108,204,30,0,34,131,7,2,38,84,3,11,0,4,21
798,2003,TEX,AL,rodrial01,SS,22000000,2002,1,TEX,AL,162,624,125,187,27,2,57,142,9,4,87,122,12,10,0,4,14
