,playerID,salary,POS,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
11,alexama02,612500,SS,1999,1,CHN,NL,90,177,17,48,11,2,0,15,4,0,10,38,0,0,1,1,1
627,rebouje01,575000,SS,1999,1,BAL,AL,99,154,25,25,4,0,0,4,1,0,33,29,0,2,3,0,1
418,ledesaa01,525000,SS,1999,1,TBA,AL,93,294,32,78,15,0,0,30,1,1,14,35,1,3,1,0,14
356,husonje01,300000,SS,1999,1,ANA,AL,97,225,21,59,7,1,0,18,10,1,16,27,0,0,1,3,9
787,vizcajo01,3500000,SS,1999,1,LAN,NL,94,266,27,67,9,0,1,29,2,1,20,23,0,1,9,2,9
733,stockke01,3300000,SS,1999,1,TBA,AL,79,254,39,76,11,2,1,27,9,7,24,41,0,4,4,0,4
183,disarga01,3225000,SS,1999,1,ANA,AL,81,271,32,62,7,1,1,29,2,2,15,32,0,2,9,1,8
261,gomezch02,2600000,SS,1999,1,SDN,NL,76,234,20,59,8,1,1,15,1,2,27,49,3,1,2,1,6
291,gutieri01,2500000,SS,1999,1,HOU,NL,85,268,33,70,7,5,1,25,2,5,37,45,4,2,3,1,9
568,ordonre01,2250000,SS,1999,1,NYN,NL,154,520,49,134,24,2,1,60,8,4,49,59,12,1,11,7,16
67,benjami01,700000,SS,1999,1,PIT,NL,110,368,42,91,26,7,1,37,10,1,20,90,3,2,11,3,3
637,relafde01,345000,SS,1999,1,PHI,NL,65,211,31,51,11,2,1,26,4,3,19,34,2,6,6,0,5
236,friasha01,243500,SS,1999,1,ARI,NL,69,150,27,41,3,2,1,16,4,3,29,18,2,0,1,0,2
292,guzmacr01,230000,SS,1999,1,MIN,AL,131,420,47,95,12,3,1,26,9,7,22,90,0,3,7,4,5
606,polanpl01,220000,SS,1999,1,SLN,NL,88,220,24,61,9,3,1,19,1,3,15,24,1,0,3,2,7
262,gonzaal01,3025000,SS,1999,1,TOR,AL,38,154,22,45,13,0,2,12,4,2,16,23,0,3,0,0,4
806,weisswa01,3000000,SS,1999,1,ATL,NL,110,279,38,63,13,4,2,29,7,3,35,48,1,3,6,4,1
678,sanchre01,2300000,SS,1999,1,KCA,AL,134,479,66,141,18,6,2,56,11,5,22,48,2,4,10,3,14
271,graffto01,270000,SS,1999,1,TBA,AL,39,130,20,41,9,4,2,19,3,2,9,22,0,1,2,0,1
831,wilsoen01,232500,SS,1999,1,CLE,AL,113,332,41,87,22,1,2,24,5,4,25,41,1,1,4,6,12
548,nievejo01,217500,SS,1999,1,CHN,NL,54,181,16,45,9,1,2,18,0,2,8,25,0,4,3,3,5
680,santafp01,750000,SS,1999,1,SFN,NL,113,254,49,66,17,3,3,26,12,4,53,54,0,11,5,2,1
71,bergda01,295000,SS,1999,1,FLO,NL,109,304,42,87,18,1,3,25,2,2,27,59,0,2,3,0,7
836,womacto01,2500000,SS,1999,1,ARI,NL,144,614,111,170,25,10,4,41,72,13,52,68,0,2,9,7,4
718,spierbi01,1700000,SS,1999,1,HOU,NL,127,393,56,113,18,5,4,39,10,5,47,45,2,0,3,1,10
82,bogarti01,700000,SS,1999,1,HOU,NL,106,309,44,74,16,2,4,31,3,5,38,52,5,4,0,3,10
31,ariasal01,550000,SS,1999,1,PHI,NL,118,347,43,105,20,1,4,48,2,2,36,31,6,4,1,2,12
829,wilsocr02,250000,SS,1999,1,CHA,AL,98,252,28,60,8,1,4,26,1,1,23,22,0,0,6,1,5
789,vizquom01,3000000,SS,1999,1,CLE,AL,144,574,112,191,36,4,5,66,42,9,65,50,0,1,17,7,8
446,loretma01,2500000,SS,1999,1,MIL,NL,153,587,93,170,34,5,5,67,4,1,52,59,1,10,9,6,14
110,bushho01,1450000,SS,1999,1,TOR,AL,128,485,69,155,26,4,5,55,32,8,21,82,0,6,8,3,9
520,mordemi01,350000,SS,1999,1,MON,NL,109,226,29,53,10,2,5,25,2,5,20,31,0,1,1,2,1
378,johnsru01,260000,SS,1999,1,HOU,NL,83,156,24,44,10,0,5,23,2,3,20,31,0,0,4,3,3
470,martira03,220000,SS,1999,1,SFN,NL,61,144,21,38,6,0,5,19,1,2,14,17,0,0,6,1,2
230,foxan01,750000,SS,1999,1,ARI,NL,99,274,34,70,12,2,6,33,4,1,33,61,10,9,1,3,4
282,grudzma01,3000000,SS,1999,1,LAN,NL,123,488,72,159,23,5,7,46,6,6,31,65,1,10,2,3,13
338,hockide01,500000,SS,1999,1,MIN,AL,136,386,47,103,18,2,7,41,11,7,22,54,1,3,4,6,10
