,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
714,2001,SDN,NL,nevinph01,3B,1625000,2000,1,SDN,NL,143,538,87,163,34,1,31,107,2,0,59,121,9,4,0,4,17
369,2001,FLO,NL,wilsopr01,OF,1000000,2000,1,FLO,NL,161,605,94,160,35,3,31,121,36,14,55,187,1,8,0,6,11
370,2001,HOU,NL,aloumo01,OF,5250000,2000,1,HOU,NL,126,454,82,161,28,2,30,114,3,3,52,45,4,2,0,9,21
322,2001,DET,AL,higgibo02,OF,5325000,2000,1,DET,AL,154,597,104,179,44,4,30,102,15,3,74,99,6,2,2,3,5
629,2001,OAK,AL,tejadmi01,SS,2025000,2000,1,OAK,AL,160,607,105,167,32,1,30,115,6,0,66,102,6,4,2,2,15
569,2001,NYA,AL,willibe02,OF,12357143,2000,1,NYA,AL,141,537,108,165,37,6,30,121,13,5,71,84,11,5,0,3,15
332,2001,DET,AL,palmede01,3B,7500000,2000,1,DET,AL,145,524,73,134,22,2,29,102,4,2,66,146,2,4,0,10,9
424,2001,KCA,AL,sweenmi01,1B,5000000,2000,1,KCA,AL,159,618,105,206,30,0,29,144,8,3,71,67,5,15,0,13,15
845,2001,TEX,AL,galaran01,1B,6000000,2000,1,ATL,NL,141,494,67,149,25,1,28,100,3,5,36,126,5,17,0,1,15
356,2001,FLO,NL,leede02,1B,375000,2000,1,FLO,NL,158,477,70,134,18,3,28,70,0,3,63,123,6,4,0,2,14
559,2001,NYA,AL,posadjo01,C,4050000,2000,1,NYA,AL,151,505,92,145,35,1,28,86,2,2,107,151,10,8,0,4,11
833,2001,TBA,AL,vaughgr01,OF,8250000,2000,1,TBA,AL,127,461,83,117,27,1,28,74,8,1,80,128,3,2,0,2,10
814,2001,TBA,AL,grievbe01,OF,2750000,2000,1,OAK,AL,158,594,92,166,40,1,27,104,3,0,73,130,2,3,0,5,32
825,2001,TBA,AL,mcgrifr01,1B,6500000,2000,1,TBA,AL,158,566,82,157,18,0,27,106,2,0,91,120,10,0,0,7,16
864,2001,TEX,AL,rodriiv01,C,8200000,2000,1,TEX,AL,91,363,66,126,27,4,27,83,5,5,19,48,5,1,0,6,17
726,2001,SEA,AL,buhneja01,OF,1850000,2000,1,SEA,AL,112,364,50,92,20,0,26,82,0,2,59,98,3,4,1,2,10
604,2001,OAK,AL,chaveer01,SS,625000,2000,1,OAK,AL,153,501,89,139,23,4,26,86,2,2,62,94,8,1,0,5,9
709,2001,SDN,NL,kleskry01,OF,5750000,2000,1,SDN,NL,145,494,88,140,33,2,26,92,23,7,91,81,9,1,0,4,10
793,2001,SLN,NL,lankfra01,OF,8100000,2000,1,SLN,NL,128,392,73,99,16,3,26,65,5,6,70,148,1,4,0,6,6
660,2001,PHI,NL,rolensc01,3B,5500000,2000,1,PHI,NL,128,483,88,144,32,6,26,89,8,1,51,99,9,5,0,2,4
