yearID_x,teamID_x,lgID_x,playerID,POS,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR
2013,ARI,NL,bloomwi01,SS,1900000,2012,1,ARI,NL,80,324,47,98,21,5,0
2013,ARI,NL,campato01,OF,497500,2012,1,CHN,NL,89,174,26,46,6,0,0
2013,ATL,NL,janispa01,SS,725000,2012,1,ATL,NL,55,167,18,31,6,1,0
2013,CLE,AL,marsolo01,C,1000000,2012,1,CLE,AL,70,195,27,44,8,2,0
2013,KCA,AL,dysonja01,OF,506000,2012,1,KCA,AL,102,292,52,76,8,5,0
2013,KCA,AL,getzch01,2B,1050000,2012,1,KCA,AL,64,189,22,52,10,3,0
2013,MIL,NL,segurje01,SS,492000,2012,2,MIL,NL,44,148,19,39,4,3,0
2013,PHI,NL,reverbe01,OF,515000,2012,1,MIN,AL,124,511,70,150,13,6,0
2013,SDN,NL,bakerjo01,C,930000,2012,1,SDN,NL,63,193,17,46,8,0,0
2013,CHN,NL,clevest01,C,496000,2012,1,CHN,NL,69,199,16,40,12,0,1
2013,LAN,NL,herreel01,SS,492500,2012,1,LAN,NL,67,187,26,47,10,1,1
2013,LAN,NL,schumsk01,OF,1500000,2012,1,SLN,NL,107,272,37,75,14,4,1
2013,MIA,NL,pierrju01,OF,1600000,2012,1,PHI,NL,130,394,59,121,10,6,1
2013,MIN,AL,carroja01,SS,3750000,2012,1,MIN,AL,138,470,65,126,18,1,1
2013,MIN,AL,floripe01,SS,495000,2012,1,MIN,AL,43,137,16,30,5,2,1
2013,NYA,AL,stewach01,C,515100,2012,1,NYA,AL,55,141,15,34,8,0,1
2013,NYN,NL,tejadru01,SS,514701,2012,1,NYN,NL,114,464,53,134,26,0,1
2013,TEX,AL,gentrcr01,P,501000,2012,1,TEX,AL,122,240,31,73,12,3,1
2013,TOR,AL,bonifem01,OF,2600000,2012,1,MIA,NL,64,244,30,63,3,4,1
2013,TOR,AL,tholejo01,C,1250000,2012,1,NYN,NL,104,321,24,75,15,0,1
2013,WAS,NL,suzukku01,C,6487500,2012,1,OAK,AL,75,262,19,57,15,0,1
2013,ARI,NL,hinsker01,OF,1350000,2012,1,ATL,NL,91,132,9,26,7,1,2
