,yearID_x,teamID_x,lgID_x,playerID,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
0,2012,ARI,NL,bloomwi01,1900000,2011,1,ARI,NL,97,350,44,93,10,2,4,26,20,10,23,51,3,4,2,2,3
1,2012,ARI,NL,drewst01,7750000,2011,1,ARI,NL,86,321,44,81,21,5,5,45,4,4,30,74,0,1,1,1,3
2,2012,ARI,NL,goldspa01,482000,2011,1,ARI,NL,48,156,28,39,9,1,8,26,4,0,20,53,0,0,0,1,4
3,2012,ARI,NL,hillaa01,5500000,2011,1,TOR,AL,104,396,38,89,15,1,6,45,16,3,23,53,1,4,0,6,8
4,2012,ARI,NL,kubelja01,7500000,2011,1,MIN,AL,99,366,37,100,21,1,12,58,1,1,32,86,2,1,0,2,8
5,2012,ARI,NL,mcdonjo03,1500000,2011,1,TOR,AL,65,168,19,42,8,1,2,20,2,4,8,18,0,1,3,2,1
6,2012,ARI,NL,montemi01,5900000,2011,1,ARI,NL,140,493,65,139,36,1,18,86,1,1,47,97,10,8,1,4,14
7,2012,ARI,NL,overbly01,1000000,2011,1,PIT,NL,103,352,40,80,17,1,8,37,1,1,36,77,1,1,1,1,12
8,2012,ARI,NL,parrage01,502000,2011,1,ARI,NL,141,445,55,130,20,8,8,46,15,1,43,82,16,3,0,2,8
9,2012,ARI,NL,roberry01,2012500,2011,1,ARI,NL,143,482,86,120,25,2,19,65,18,9,66,98,2,2,3,2,6
10,2012,ARI,NL,uptonju01,6958333,2011,1,ARI,NL,159,592,105,171,39,5,31,88,21,9,59,126,9,19,0,4,8
11,2012,ARI,NL,youngch04,7200000,2011,1,ARI,NL,156,567,89,134,38,3,20,71,22,9,80,139,4,4,1,7,3
12,2012,ATL,NL,bournmi01,6845000,2011,1,HOU,NL,105,429,64,130,26,7,1,32,39,7,38,90,2,3,2,1,5
13,2012,ATL,NL,bournmi01,6845000,2011,2,ATL,NL,53,227,30,63,8,3,1,18,22,7,15,50,1,1,3,3,1
14,2012,ATL,NL,diazma02,2125000,2011,1,PIT,NL,100,216,14,56,12,1,0,19,4,2,11,44,0,3,0,1,8
15,2012,ATL,NL,freemfr01,535000,2011,1,ATL,NL,157,571,67,161,32,0,21,76,4,4,53,142,3,6,0,5,15
16,2012,ATL,NL,heywaja01,565000,2011,1,ATL,NL,128,396,50,90,18,2,14,42,9,2,51,93,4,4,0,3,7
17,2012,ATL,NL,hinsker01,1600000,2011,1,ATL,NL,117,236,24,55,10,0,10,28,0,1,26,71,1,1,0,1,5
18,2012,ATL,NL,jonesch06,14000000,2011,1,ATL,NL,126,455,56,125,33,1,18,70,2,2,51,80,10,0,0,6,10
19,2012,ATL,NL,mccanbr01,11500000,2011,1,ATL,NL,128,466,51,126,19,0,24,71,3,2,57,89,14,2,0,2,10
20,2012,ATL,NL,pradoma01,4750000,2011,1,ATL,NL,129,551,66,143,26,2,13,57,4,8,34,52,1,1,1,3,16
21,2012,ATL,NL,rossda01,1625000,2011,1,ATL,NL,52,152,14,40,7,0,6,23,0,1,16,51,0,0,2,0,4
22,2012,ATL,NL,ugglada01,13146942,2011,1,ATL,NL,161,600,88,140,22,1,36,82,1,3,62,156,2,7,0,3,9
23,2012,ATL,NL,wilsoja02,1000000,2011,1,SEA,AL,62,173,22,43,8,0,0,11,5,2,9,27,0,0,3,2,2
24,2012,BAL,AL,andinro01,1300000,2011,1,BAL,AL,139,457,63,120,22,0,5,36,13,3,41,83,0,3,9,1,14
25,2012,BAL,AL,betemwi01,1250000,2011,1,KCA,AL,57,203,29,57,15,1,3,27,3,1,20,58,6,0,0,3,6
26,2012,BAL,AL,chaveen01,1500000,2011,1,TEX,AL,83,256,37,77,11,3,5,27,10,5,10,30,0,0,5,3,7
27,2012,BAL,AL,hardyjj01,7416666,2011,1,BAL,AL,129,527,76,142,27,0,30,80,0,0,31,92,3,2,2,5,10
28,2012,BAL,AL,jonesad01,6150000,2011,1,BAL,AL,151,567,68,159,26,2,25,83,12,4,29,113,2,9,1,12,16
29,2012,BAL,AL,markani01,12350000,2011,1,BAL,AL,160,641,72,182,31,1,15,73,12,3,62,75,6,7,0,6,16
30,2012,BAL,AL,pauliro01,1000000,2011,1,NYN,NL,78,228,19,61,13,0,2,19,0,0,15,38,3,1,1,3,9
31,2012,BAL,AL,reimono01,490500,2011,1,BAL,AL,87,267,40,66,10,3,13,45,7,2,28,57,1,6,0,4,4
32,2012,BAL,AL,reynoma01,7833333,2011,1,BAL,AL,155,534,84,118,27,1,37,86,6,4,75,196,2,7,0,4,11
33,2012,BAL,AL,roberbr01,10000000,2011,1,BAL,AL,39,163,18,36,7,1,3,19,6,1,12,21,0,0,2,1,4
34,2012,BAL,AL,wietema01,500000,2011,1,BAL,AL,139,500,72,131,28,0,22,68,1,0,48,84,3,2,0,1,16
35,2012,BOS,AL,avilemi01,1200000,2011,1,KCA,AL,53,185,14,41,11,3,5,31,10,2,9,27,0,2,3,3,5
36,2012,BOS,AL,crawfca02,20357142,2011,1,BOS,AL,130,506,65,129,29,7,11,56,18,6,23,104,1,3,2,4,7
37,2012,BOS,AL,ellsbja01,8050000,2011,1,BOS,AL,158,660,119,212,46,5,32,105,39,15,52,98,1,9,3,5,8
38,2012,BOS,AL,gonzaad01,21857142,2011,1,BOS,AL,159,630,108,213,45,3,27,117,1,0,74,119,20,6,0,5,28
39,2012,BOS,AL,mcdonda02,506500,2011,1,BOS,AL,79,157,26,37,6,1,6,24,2,3,14,33,0,2,0,2,3
40,2012,BOS,AL,ortizda01,14575000,2011,1,BOS,AL,146,525,84,162,40,1,29,96,1,1,78,83,12,1,0,1,24
41,2012,BOS,AL,pedrodu01,8250000,2011,1,BOS,AL,159,635,102,195,37,3,21,91,26,8,86,85,6,1,2,7,12
42,2012,BOS,AL,puntoni01,1500000,2011,1,SLN,NL,63,133,21,37,8,4,1,20,1,1,25,21,3,0,6,2,3
43,2012,BOS,AL,rossco01,3000000,2011,1,SFN,NL,121,405,54,97,25,0,14,52,5,2,49,96,4,4,0,3,10
44,2012,BOS,AL,saltaja01,2500000,2011,1,BOS,AL,103,358,52,84,23,3,16,56,1,0,24,119,1,3,0,1,7
45,2012,BOS,AL,shoppke01,1350000,2011,1,TBA,AL,87,221,23,39,3,0,11,22,0,0,19,79,0,9,3,1,5
46,2012,BOS,AL,sweenry01,1750000,2011,1,OAK,AL,108,264,34,70,11,3,1,25,1,1,33,48,3,0,1,1,7
47,2012,BOS,AL,youklke01,12250000,2011,1,BOS,AL,120,431,68,111,32,2,17,80,3,0,68,100,3,14,0,4,14
48,2012,CHA,AL,beckhgo01,520000,2011,1,CHA,AL,150,499,60,115,23,0,10,44,5,3,35,111,0,13,7,3,6
49,2012,CHA,AL,deazaal01,495000,2011,1,CHA,AL,54,152,29,50,11,3,4,23,12,5,17,34,1,1,1,0,2
50,2012,CHA,AL,dunnad01,14000000,2011,1,CHA,AL,122,415,36,66,16,0,11,42,0,1,75,177,0,4,0,2,10
51,2012,CHA,AL,fukudko01,500000,2011,1,CHN,NL,87,293,33,80,15,2,3,13,2,2,46,57,1,1,5,0,2
52,2012,CHA,AL,fukudko01,500000,2011,2,CLE,AL,59,237,26,59,12,1,5,22,2,4,15,53,3,3,1,2,6
53,2012,CHA,AL,konerpa01,12000000,2011,1,CHA,AL,149,543,69,163,25,0,31,105,1,1,77,89,17,8,0,11,14
54,2012,CHA,AL,lillibr01,500000,2011,1,CHA,AL,97,186,38,48,5,1,13,29,10,6,17,62,1,7,4,2,2
55,2012,CHA,AL,morelbr01,490000,2011,1,CHA,AL,126,413,44,101,18,1,10,41,5,4,22,57,0,3,5,1,8
56,2012,CHA,AL,pierzaj01,6000000,2011,1,CHA,AL,129,464,38,133,29,1,8,48,0,0,23,33,6,5,2,6,19
57,2012,CHA,AL,ramiral03,5000000,2011,1,CHA,AL,158,614,81,165,31,2,15,70,7,5,51,84,1,6,8,5,19
58,2012,CHA,AL,riosal01,12500000,2011,1,CHA,AL,145,537,64,122,22,2,13,44,11,6,27,68,4,2,0,4,20
59,2012,CHN,NL,bakerje03,1375000,2011,1,CHN,NL,81,201,20,54,12,1,3,23,0,0,10,46,0,0,0,1,8
60,2012,CHN,NL,barneda01,500000,2011,1,CHN,NL,143,529,66,146,23,6,2,43,9,2,22,67,2,8,7,4,14
61,2012,CHN,NL,byrdma01,6500000,2011,1,CHN,NL,119,446,51,123,22,2,9,35,3,2,25,78,2,8,1,2,13
62,2012,CHN,NL,campato01,483000,2011,1,CHN,NL,95,143,24,37,3,0,1,6,24,2,8,30,1,1,3,0,1
63,2012,CHN,NL,castrst01,567000,2011,1,CHN,NL,158,674,91,207,36,9,10,66,22,9,35,96,2,2,0,4,20
64,2012,CHN,NL,dejesda01,4250000,2011,1,OAK,AL,131,442,60,106,20,5,10,46,4,3,45,86,1,11,4,4,14
65,2012,CHN,NL,johnsre02,1150000,2011,1,CHN,NL,111,246,33,76,22,1,5,28,2,1,5,63,1,11,2,2,4
66,2012,CHN,NL,soriaal01,19000000,2011,1,CHN,NL,137,475,50,116,27,1,26,88,2,1,27,113,4,4,0,2,15
67,2012,CHN,NL,sotoge01,4300000,2011,1,CHN,NL,125,421,46,96,26,0,17,54,0,0,45,124,3,6,0,2,12
68,2012,CIN,NL,bruceja01,5041666,2011,1,CIN,NL,157,585,84,150,27,2,32,97,8,7,71,158,14,5,1,2,8
69,2012,CIN,NL,cairomi01,1000000,2011,1,CIN,NL,102,245,33,65,8,2,8,33,3,4,18,36,1,7,3,3,3
70,2012,CIN,NL,hanigry01,1300000,2011,1,CIN,NL,91,266,27,71,6,0,6,31,0,0,35,32,3,2,1,0,3
71,2012,CIN,NL,harriwi01,800000,2011,1,NYN,NL,126,240,36,59,11,0,2,23,5,4,36,62,3,4,1,2,6
72,2012,CIN,NL,heisech01,495000,2011,1,CIN,NL,120,279,44,71,9,1,18,50,6,1,19,78,3,5,1,4,1
73,2012,CIN,NL,ludwiry01,2000000,2011,1,SDN,NL,101,378,42,90,18,0,11,64,1,1,32,87,1,4,1,5,8
74,2012,CIN,NL,phillbr01,12500000,2011,1,CIN,NL,150,610,94,183,38,2,18,82,14,9,44,85,3,9,5,6,15
75,2012,CIN,NL,rolensc01,8166666,2011,1,CIN,NL,65,252,31,61,20,2,5,36,1,0,10,36,0,4,0,3,4
76,2012,CIN,NL,stubbdr01,527500,2011,1,CIN,NL,158,604,92,147,22,3,15,44,40,10,63,205,1,7,6,1,2
77,2012,CIN,NL,valdewi01,930000,2011,1,PHI,NL,99,273,39,68,14,4,1,30,3,3,18,41,3,0,7,2,13
78,2012,CIN,NL,vottojo01,11410655,2011,1,CIN,NL,161,599,101,185,40,3,29,103,8,6,110,129,15,4,0,6,20
79,2012,CLE,AL,brantmi02,495300,2011,1,CLE,AL,114,451,63,120,24,4,7,46,13,5,34,76,2,3,3,5,11
80,2012,CLE,AL,cabreas01,4550000,2011,1,CLE,AL,151,604,87,165,32,3,25,92,17,5,44,119,5,11,4,4,10
81,2012,CLE,AL,choosh01,4900000,2011,1,CLE,AL,85,313,37,81,11,3,8,36,12,5,36,78,3,6,0,3,7
82,2012,CLE,AL,donalja01,484000,2011,1,CLE,AL,39,132,13,42,6,1,1,8,3,2,7,35,0,3,0,1,2
83,2012,CLE,AL,duncash01,500000,2011,1,CLE,AL,76,223,29,58,17,0,11,47,0,1,19,56,1,3,0,2,7
84,2012,CLE,AL,hafnetr01,13000000,2011,1,CLE,AL,94,325,41,91,16,0,13,57,0,0,36,78,5,6,0,1,7
85,2012,CLE,AL,hannaja01,1135000,2011,1,CLE,AL,110,320,38,80,16,2,8,40,2,1,38,80,0,2,4,2,7
86,2012,CLE,AL,kipnija01,482100,2011,1,CLE,AL,36,136,24,37,9,1,7,19,5,0,11,34,0,2,0,1,0
87,2012,CLE,AL,kotchca01,3000000,2011,1,TBA,AL,146,500,44,153,24,2,10,48,2,2,48,66,5,12,0,3,13
88,2012,CLE,AL,marsolo01,491700,2011,1,CLE,AL,79,243,26,56,9,2,1,19,4,2,24,68,0,1,2,2,7
89,2012,CLE,AL,santaca01,501900,2011,1,CLE,AL,155,552,84,132,35,2,27,79,5,3,97,133,7,2,0,7,15
90,2012,CLE,AL,sizemgr01,5000000,2011,1,CLE,AL,71,268,34,60,21,1,10,32,0,2,18,85,1,6,0,3,4
91,2012,COL,NL,colvity01,481000,2011,1,CHN,NL,80,206,17,31,8,3,6,20,0,0,14,58,3,0,1,1,2
92,2012,COL,NL,cuddymi01,10500000,2011,1,MIN,AL,139,529,70,150,29,2,20,70,11,1,48,95,3,4,0,3,18
93,2012,COL,NL,fowlede01,2350000,2011,1,COL,NL,125,481,84,128,35,15,5,45,12,9,68,130,3,6,7,1,6
94,2012,COL,NL,giambja01,1000000,2011,1,COL,NL,64,131,20,34,6,0,13,32,0,0,17,45,0,3,0,1,1
95,2012,COL,NL,gonzaca01,5428571,2011,1,COL,NL,127,481,92,142,27,3,26,92,20,5,48,105,8,7,0,6,11
96,2012,COL,NL,heltoto01,6075000,2011,1,COL,NL,124,421,59,127,27,0,14,69,0,1,59,71,5,3,0,8,6
97,2012,COL,NL,hernara02,3200000,2011,1,CIN,NL,91,298,28,84,13,0,12,36,0,0,23,41,6,5,0,2,11
98,2012,COL,NL,herrejo03,482000,2011,1,COL,NL,104,281,28,68,5,1,3,14,4,4,28,40,0,1,10,0,7
99,2012,COL,NL,nelsoch01,480000,2011,1,COL,NL,63,180,20,45,10,1,4,16,3,1,7,35,1,1,0,1,5
100,2012,COL,NL,scutama01,6000000,2011,1,BOS,AL,113,395,59,118,26,1,7,54,4,2,38,36,1,1,7,4,12
101,2012,COL,NL,tulowtr01,8250000,2011,1,COL,NL,143,537,81,162,36,2,30,105,9,3,59,79,12,4,1,5,16
102,2012,COL,NL,younger03,481000,2011,1,COL,NL,77,198,34,49,4,3,0,10,27,4,26,38,0,3,1,1,1
103,2012,DET,AL,avilaal01,510000,2011,1,DET,AL,141,464,63,137,33,4,19,82,3,1,73,131,9,3,3,8,8
