playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
navardi01,2015,1,TOR,AL,C,39,34,960,242,20,4,3,2,,14,9,
navaref01,2015,1,LAA,AL,1B,29,8,321,113,5,0,7,,,,,
navaref01,2015,1,LAA,AL,OF,17,11,276,22,1,0,0,,,,,
navarre01,2015,1,BAL,AL,2B,9,7,204,16,19,1,6,,,,,
negrokr01,2015,1,CIN,NL,1B,2,2,54,16,2,0,0,,,,,
negrokr01,2015,1,CIN,NL,2B,6,4,115,3,13,0,4,,,,,
negrokr01,2015,1,CIN,NL,3B,2,1,33,0,0,1,0,,,,,
negrokr01,2015,1,CIN,NL,OF,16,6,207,20,0,1,0,,,,,
negrokr01,2015,1,CIN,NL,SS,10,7,243,11,31,1,7,,,,,
nelsoji02,2015,1,MIL,NL,P,30,30,532,8,21,1,3,,,,,
nerishe01,2015,1,PHI,NL,P,32,0,121,1,3,2,0,,,,,
nesbian01,2015,1,DET,AL,P,24,0,65,2,2,0,0,,,,,
neshepa01,2015,1,HOU,AL,P,66,0,164,1,6,1,0,,,,,
nicasju01,2015,1,LAN,NL,P,53,1,175,5,7,1,0,,,,,
nicolju01,2015,1,MIA,NL,P,12,12,222,2,15,0,1,,,,,
niesejo01,2015,1,NYN,NL,P,33,29,530,7,39,1,4,,,,,
nieuwki01,2015,1,NYN,NL,OF,13,6,196,18,0,0,0,,,,,
nieuwki01,2015,2,LAA,AL,OF,10,6,180,17,0,0,0,,,,,
nieuwki01,2015,3,NYN,NL,OF,28,15,459,42,2,0,1,,,,,
nievewi01,2015,1,SDN,NL,1B,2,0,6,3,0,0,1,,,,,
nievewi01,2015,1,SDN,NL,C,4,4,96,42,2,1,0,3,,5,0,
noelri01,2015,1,NYA,AL,OF,2,0,6,1,0,0,0,,,,,
noesihe01,2015,1,CHA,AL,P,10,5,98,0,4,0,1,,,,,
nolaaa01,2015,1,PHI,NL,P,13,13,233,5,10,0,0,,,,,
nolasri01,2015,1,MIN,AL,P,9,8,112,2,1,1,0,,,,,
nolinse01,2015,1,OAK,AL,P,6,6,87,0,1,0,0,,,,,
noonani01,2015,1,SFN,NL,1B,3,2,57,24,1,0,2,,,,,
noonani01,2015,1,SFN,NL,SS,5,3,81,4,6,1,1,,,,,
norribu01,2015,1,BAL,AL,P,18,11,199,4,6,2,0,,,,,
norribu01,2015,2,SDN,NL,P,20,0,50,2,0,0,0,,,,,
norrida01,2015,1,TOR,AL,P,5,5,70,0,5,0,0,,,,,
norrida01,2015,2,DET,AL,P,8,8,110,3,3,0,1,,,,,
norride01,2015,1,SDN,NL,1B,17,15,324,108,1,2,8,,,,,
norride01,2015,1,SDN,NL,C,128,116,3122,970,79,7,7,13,,84,44,
novaiv01,2015,1,NYA,AL,P,17,17,282,4,8,2,2,,,,,
nunezed02,2015,1,MIN,AL,2B,1,1,27,3,0,0,0,,,,,
nunezed02,2015,1,MIN,AL,3B,16,9,294,7,15,2,0,,,,,
nunezed02,2015,1,MIN,AL,OF,3,2,42,4,1,1,0,,,,,
nunezed02,2015,1,MIN,AL,SS,27,23,628,32,71,0,10,,,,,
nunovi01,2015,1,ARI,NL,P,3,0,43,0,0,0,0,,,,,
nunovi01,2015,2,SEA,AL,P,32,10,224,0,13,1,1,,,,,
obergsc01,2015,1,COL,NL,P,64,0,175,6,6,0,1,,,,,
oberhbr01,2015,1,HOU,AL,P,8,8,115,3,7,0,0,,,,,
obriepe04,2015,1,ARI,NL,OF,3,1,48,1,0,0,0,,,,,
odayda01,2015,1,BAL,AL,P,68,0,196,2,4,0,1,,,,,
odorija01,2015,1,TBA,AL,P,28,28,508,4,10,0,2,,,,,
odorro01,2015,1,TEX,AL,2B,119,113,3022,207,350,17,97,,,,,
oflaher01,2015,1,OAK,AL,P,25,0,64,2,4,0,0,,,,,
oflaher01,2015,2,NYN,NL,P,16,0,26,0,1,0,0,,,,,
ogandal01,2015,1,BOS,AL,P,64,0,196,8,6,2,0,,,,,
ogandne01,2015,1,PHI,NL,P,4,0,12,1,0,0,0,,,,,
ohlenro01,2015,1,TEX,AL,P,21,0,58,0,2,0,0,,,,,
olivehe01,2015,1,ATL,NL,3B,21,21,504,15,23,4,2,,,,,
olmosed01,2015,1,SEA,AL,P,6,2,42,0,1,0,0,,,,,
olsonty01,2015,1,SEA,AL,P,11,0,40,1,1,0,1,,,,,
oltmi01,2015,1,CHN,NL,3B,6,3,84,2,5,0,0,,,,,
oltmi01,2015,2,CHA,AL,1B,5,3,96,21,2,2,1,,,,,
oltmi01,2015,2,CHA,AL,3B,20,20,489,17,21,4,1,,,,,
omallsh01,2015,1,SEA,AL,3B,3,0,18,1,1,0,0,,,,,
omallsh01,2015,1,SEA,AL,OF,16,12,342,24,0,0,0,,,,,
orlanpa01,2015,1,KCA,AL,OF,79,63,1813,129,5,4,1,,,,,
orourry01,2015,1,MIN,AL,P,28,0,66,2,2,0,0,,,,,
ortizda01,2015,1,BOS,AL,1B,9,9,180,51,5,1,2,,,,,
osichjo01,2015,1,SFN,NL,P,35,0,86,1,2,1,0,,,,,
osullse01,2015,1,PHI,NL,P,13,13,213,6,6,0,0,,,,,
osunaro01,2015,1,TOR,AL,P,68,0,209,4,4,0,0,,,,,
oteroda01,2015,1,OAK,AL,P,41,0,140,1,6,0,0,,,,,
ottavad01,2015,1,COL,NL,P,10,0,31,0,1,0,0,,,,,
owenshe02,2015,1,BOS,AL,P,11,11,189,1,6,0,1,,,,,
owingch01,2015,1,ARI,NL,2B,115,101,2756,154,289,4,65,,,,,
owingch01,2015,1,ARI,NL,SS,35,29,783,37,62,1,10,,,,,
ozunama01,2015,1,MIA,NL,OF,122,119,3142,273,5,1,0,,,,,
pachejo01,2015,1,ARI,NL,1B,2,0,21,5,0,0,0,,,,,
pachejo01,2015,1,ARI,NL,3B,1,0,3,0,0,0,0,,,,,
