,yearID_x,teamID_x,lgID_x,playerID,salary,yearID_y,stint,teamID_y,lgID_y,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
276,2002,PIT,NL,wilsocr03,229000,2001,1,PIT,NL,88,158,27,49,3,1,13,32,3,1,15,53,1,7,1,2,4
300,2002,SEA,AL,wilsoda01,4500000,2001,1,SEA,AL,123,377,44,100,20,1,10,42,3,2,20,69,0,2,8,1,6
277,2002,PIT,NL,wilsoja02,232000,2001,1,PIT,NL,108,390,44,87,17,1,3,25,1,3,16,70,2,1,17,1,4
146,2002,FLO,NL,wilsopr01,3500000,2001,1,FLO,NL,123,468,70,128,30,2,23,71,20,8,36,107,2,6,0,3,14
334,2002,TBA,AL,winnra01,960000,2001,1,TBA,AL,128,429,54,117,25,6,6,50,12,10,38,81,0,6,5,2,10
25,2002,ARI,NL,womacto01,4500000,2001,1,ARI,NL,125,481,66,128,19,5,3,30,28,7,23,54,2,6,7,1,4
12,2002,ANA,AL,wootesh01,250000,2001,1,ANA,AL,79,221,24,69,8,1,8,32,2,0,5,42,0,3,0,3,5
136,2002,DET,AL,youngdm01,5500000,2001,1,CIN,NL,142,540,68,163,28,3,21,69,8,5,37,77,10,5,1,3,22
200,2002,MIL,NL,younger01,2000000,2001,1,CHN,NL,149,603,98,168,43,4,6,42,31,14,42,45,1,9,15,3,15
278,2002,PIT,NL,youngke01,5625000,2001,1,PIT,NL,142,449,53,104,33,0,14,65,15,11,42,119,3,11,0,5,17
345,2002,TEX,AL,youngmi02,250000,2001,1,TEX,AL,106,386,57,96,18,4,11,49,3,1,26,91,0,3,9,5,9
125,2002,COL,NL,zeileto01,6833333,2001,1,NYN,NL,151,531,66,141,25,1,10,62,1,0,73,102,3,6,0,2,15
