,YearID,TeamID,LeagueID,PlayerID,POS,Salary,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
537,2001,MON,NL,tracyan01,3B,218000,2000,1,MON,NL,83,192,29,50,8,1,11,32,1,0,22,61,1,2,0,2,3
394,2001,HOU,NL,trubych01,3B,237500,2000,1,HOU,NL,78,258,28,67,15,4,11,59,2,1,10,56,1,5,1,5,4
186,2001,CHA,AL,perryhe01,3B,975000,2000,2,CHA,AL,109,383,69,118,29,1,12,61,4,1,22,68,1,9,2,4,13
60,2001,ARI,NL,willima04,3B,9000000,2000,1,ARI,NL,96,371,43,102,18,2,12,47,1,2,20,51,1,3,0,3,11
839,2001,TEX,AL,caminke01,3B,3500000,2000,1,HOU,NL,59,208,42,63,13,0,15,45,3,0,42,37,8,1,0,2,7
39,2001,ARI,NL,colbrgr01,3B,1600000,2000,1,ARI,NL,116,329,48,103,22,1,15,57,0,1,43,45,2,10,0,3,13
416,2001,KCA,AL,randajo01,3B,2300000,2000,1,KCA,AL,158,612,88,186,29,4,15,106,6,3,36,66,3,6,1,10,19
126,2001,BAL,AL,ripkeca01,3B,6300000,2000,1,BAL,AL,83,309,43,79,16,0,15,56,0,0,23,37,0,3,0,4,10
200,2001,CHN,NL,coomero01,3B,1100000,2000,1,MIN,AL,140,544,64,147,29,1,16,82,2,0,36,50,2,4,0,5,25
534,2001,MON,NL,tatisfe01,3B,2750000,2000,1,SLN,NL,96,324,59,82,21,1,18,64,2,3,57,94,1,10,1,2,13
178,2001,CHA,AL,konerpa01,3B,2300000,2000,1,CHA,AL,143,524,84,156,31,1,21,97,1,0,47,72,0,10,0,5,22
261,2001,CLE,AL,frymatr01,3B,5750000,2000,1,CLE,AL,155,574,93,184,38,4,22,106,1,1,73,111,2,1,0,10,15
358,2001,FLO,NL,lowelmi01,3B,500000,2000,1,FLO,NL,140,508,73,137,38,0,22,91,4,0,54,75,4,9,0,11,4
598,2001,NYN,NL,venturo01,3B,8000000,2000,1,NYN,NL,141,469,61,109,23,1,24,84,3,5,75,91,12,2,1,4,14
660,2001,PHI,NL,rolensc01,3B,5500000,2000,1,PHI,NL,128,483,88,144,32,6,26,89,8,1,51,99,9,5,0,2,4
332,2001,DET,AL,palmede01,3B,7500000,2000,1,DET,AL,145,524,73,134,22,2,29,102,4,2,66,146,2,4,0,10,9
714,2001,SDN,NL,nevinph01,3B,1625000,2000,1,SDN,NL,143,538,87,163,34,1,31,107,2,0,59,121,9,4,0,4,17
870,2001,TOR,AL,batisto01,3B,3300000,2000,1,TOR,AL,154,620,96,163,32,2,41,114,5,4,35,121,1,6,0,3,15
585,2001,NYN,NL,ordonre01,SS,4000000,2000,1,NYN,NL,45,133,10,25,5,0,0,9,0,0,17,16,2,0,4,1,4
